Dataset,Familia,Combinacion,MAE,RMSE,DTW,SNR
iris_graph_signal,GSP Instantáneo,iris_graph_signal | vknng | visibility_nnk,0.1828393890585723,0.4700571191805186,3.118799394326099,6.668721340001778
iris_graph_signal,TV/Tiempo,iris_graph_signal | aew | trss,0.1859437067860692,0.4771238780138213,3.1424166075210698,6.580584678761137
iris_graph_signal,TV/Tiempo,iris_graph_signal | epsilon_ball | trss,0.1859508754177367,0.4771409719237496,3.1425639171815587,6.580249889288129
iris_graph_signal,TV/Tiempo,iris_graph_signal | knn__k9 | trss,0.16766830029962684,0.3994518538951485,2.4006206993207355,9.642713487964988
iris_graph_signal,TV/Tiempo,iris_graph_signal | nnk | trss,0.12141813506279465,0.3621005048177134,2.12743805572574,11.127851248709678
iris_graph_signal,TV/Tiempo,iris_graph_signal | vknng | trss,0.1174748798180459,0.3455016734049426,2.0512231584918266,11.391103729847703
mne_sample,Baseline,mne_sample | aew | spherical_spline,0.0394841353214269,0.1345611831095005,0.7917157800572637,20.9491923358271
mne_sample,Baseline,mne_sample | epsilon_ball | spherical_spline,0.0394841353214269,0.1345611831095005,0.7917157800572637,20.9491923358271
mne_sample,Baseline,mne_sample | knn__k3 | spherical_spline,0.0394841353214269,0.1345611831095005,0.7917157800572637,20.9491923358271
mne_sample,Baseline,mne_sample | knn__k5 | spherical_spline,0.0394841353214269,0.1345611831095005,0.7917157800572637,20.9491923358271
mne_sample,Baseline,mne_sample | knn__k7 | spherical_spline,0.0394841353214269,0.1345611831095005,0.7917157800572637,20.9491923358271
mne_sample,Baseline,mne_sample | knn__k9 | spherical_spline,0.0394841353214269,0.1345611831095005,0.7917157800572637,20.9491923358271
mne_sample,Baseline,mne_sample | knng | spherical_spline,0.0394841353214269,0.1345611831095005,0.7917157800572637,20.9491923358271
mne_sample,Baseline,mne_sample | nnk | spherical_spline,0.0394841353214269,0.1345611831095005,0.7917157800572637,20.9491923358271
mne_sample,Baseline,mne_sample | vknng | spherical_spline,0.0394841353214269,0.1345611831095005,0.7917157800572637,20.9491923358271
mne_sample,GSP Instantáneo,mne_sample | aew | bgsrp,11.765895459249396,173.33571260159766,419.6827894672635,-0.6577217641430639
mne_sample,GSP Instantáneo,mne_sample | aew | ica,0.1661979296740938,0.458224542577636,3.0655767764521014,6.889696748077353
mne_sample,GSP Instantáneo,mne_sample | aew | idw,0.0331123336434961,0.1005087035059997,0.7245299197485536,21.408535431416187
mne_sample,GSP Instantáneo,mne_sample | aew | linear,0.0433652273618941,0.1286022010109334,0.8437458810297108,19.32046742976325
mne_sample,GSP Instantáneo,mne_sample | aew | rbfi_tps,0.0327348193430334,0.1048230275856485,0.688322001360449,22.44632236793929
