dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch
synthetic_32ch,knn__k3,temporal_laplacian,0.3,2,0.463421775192457,0.5680233317050868,3.340235635020665,0.463814536726859,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.3,2,0.4414556152999981,0.5439529481442794,3.551129545979583,0.4501734033297041,{},,
synthetic_32ch,knn__k3,tv,0.3,2,0.4600875582321018,0.5641599591800389,3.3715951084250237,0.4773689793987352,{},,
synthetic_32ch,knn__k3,trss,0.3,2,0.4234717222491772,0.5420239888511315,3.7317558481552533,0.43659751180429596,{},,
synthetic_32ch,knn__k3,mean,0.4,0,0.5025218676250542,0.617655008687806,2.9884503483744314,0.5408105187861032,{},,
synthetic_32ch,knn__k3,nearest,0.4,0,0.6421088807346336,0.7757117284497459,1.9239132349915793,0.6818837640275419,{},,
synthetic_32ch,knn__k3,tikhonov,0.4,0,0.5710529909131598,0.6957306729603934,2.433235894883023,0.5906308519895901,{},,
synthetic_32ch,knn__k3,temporal_laplacian,0.4,0,0.46997500024056843,0.5532060817818021,3.2792524322577195,0.4930380341804922,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.4,0,0.46946696120767833,0.5651397193747582,3.2839496584651533,0.49007113733113633,{},,
synthetic_32ch,knn__k3,tv,0.4,0,0.4467363131080543,0.5532576833704481,3.499487443226384,0.45774158429612777,{},,
synthetic_32ch,knn__k3,trss,0.4,0,0.42307350267478655,0.504759151599326,3.7358417391722467,0.42580965967874335,{},,
synthetic_32ch,knn__k3,mean,0.4,1,0.5216014963263622,0.6521851063651494,2.8266117140615084,0.5231763156788176,{},,
synthetic_32ch,knn__k3,nearest,0.4,1,0.630297432727954,0.7997989161785578,2.0045446180016553,0.639290597802983,{},,
synthetic_32ch,knn__k3,tikhonov,0.4,1,0.5592081302236026,0.6855705496009762,2.524265230885306,0.5653952685925977,{},,
synthetic_32ch,knn__k3,temporal_laplacian,0.4,1,0.49783237500036664,0.6201374637508121,3.0291686379964036,0.5063141003959148,{},,
synthetic_32ch,knn__k3,graph_time_tikhonov,0.4,1,0.4692747314397724,0.5606527207272588,3.2857283017123784,0.47159079807291576,{},,
