comparison,method_a,method_b,metric,direction,n_pairs,n_scenarios,a_mean,b_mean,a_median,b_median,median_improvement,mean_improvement,win_rate,median_benefit_diff,mean_benefit_diff,wilcoxon_p,paired_rank_biserial,cohen_dz,boot_median_improvement_ci_low,boot_median_improvement_ci_high,boot_mean_improvement_ci_low,boot_mean_improvement_ci_high,boot_median_benefit_diff_ci_low,boot_median_benefit_diff_ci_high,boot_win_rate_ci_low,boot_win_rate_ci_high,p_fdr_bh,significant_fdr05
trss_oracle_grid vs MNE,trss_oracle_grid,mne_interpolate_bads_spline,mae,lower,300,100,1.0407657490191969e-05,1.4443114170161939e-05,8.113142215470156e-06,1.1330450438219826e-05,0.13376130096483677,0.14883116217285203,0.7333333333333333,1.4886903312038567e-06,4.035456679969967e-06,8.389276804327632e-27,0.7139313399778516,0.48056744159053283,0.09303287449801981,0.1971867183838179,0.10218521379510728,0.1908177333705445,8.961251432706211e-07,1.8138264290784958e-06,0.65,0.8034166666666662,4.194638402163816e-26,True
trss_oracle_grid vs MNE,trss_oracle_grid,mne_interpolate_bads_spline,rmse,lower,300,100,1.3263471699111016e-05,1.8276450330386553e-05,1.0534978129666424e-05,1.4742810649373977e-05,0.1526470439066184,0.1555663033841911,0.72,2.0539134190256435e-06,5.012978631275534e-06,3.5295853407924045e-27,0.7192469545957918,0.48745877005738797,0.08820583203181016,0.2283113656995162,0.1114270494813171,0.19967252148217132,1.3354293536241058e-06,2.5519219872004015e-06,0.64,0.7933333333333333,2.593306249587612e-26,True
trss_oracle_grid vs MNE,trss_oracle_grid,mne_interpolate_bads_spline,nrmse,lower,300,100,0.5696511211036824,0.8041377699800044,0.610351848477966,0.7248160304525755,0.1526470439066186,0.15556630338419233,0.72,0.09094856377945026,0.23448664887632195,1.7549757808010094e-26,0.7093687707641196,0.6087240903383472,0.0873153585921384,0.2309608109856532,0.11199884212363564,0.20086632408808802,0.037483880137543946,0.21027619219349947,0.64,0.7966666666666666,7.52132477486147e-26,True
trss_oracle_grid vs MNE,trss_oracle_grid,mne_interpolate_bads_spline,dtw,lower,300,100,0.0006792437594691544,0.0009150464556071584,0.0005560327439213,0.00067320927634905,0.10681113000276309,0.12901664199243595,0.72,6.570388836609999e-05,0.00023580269613800406,5.70871651801158e-24,0.6725581395348837,0.43185128601198747,0.07300735381646528,0.14871746423959817,0.08700926321445816,0.17228865307668415,3.702289767890002e-05,9.036331428721741e-05,0.64,0.7967499999999995,2.1407686942543425e-23,True
trss_oracle_grid vs MNE,trss_oracle_grid,mne_interpolate_bads_spline,snr,higher,300,100,9.121473888353623,8.417404025694086,9.58562090435001,9.465564582980676,0.02534389203420937,31.116596523021073,0.5733333333333334,0.2449673138891475,0.7040698626595366,6.089439921128481e-05,0.26706533776301217,0.258079643455227,-0.003120284057042258,0.07503847105381958,1.5032838269847277,139.22251059999422,-0.01831678517537398,0.6863705972810362,0.49325,0.6533333333333333,7.026276832071324e-05,True
trss_oracle_grid vs MNE,trss_oracle_grid,mne_interpolate_bads_spline,lsd,lower,300,100,0.8521534432816096,0.7885624538821648,0.7728866175170155,0.7507594432805448,-0.08195249530042231,-0.08746202376586863,0.29,-0.044344376130269036,-0.06359098939944463,3.975996321232615e-14,-0.5036987818383167,-0.40463711467073404,-0.11117728082896763,-0.043552514892485246,-0.12220344573207882,-0.05441257061616019,-0.07541751627417786,-0.030244427888513004,0.21,0.3700833333333329,5.186082158129499e-14,True
trss_oracle_grid vs MNE,trss_oracle_grid,mne_interpolate_bads_spline,coherence_mean,higher,300,100,0.8079960643231897,0.7850163098985414,0.8821681740653857,0.8874917310360311,0.0016872693712942132,0.06635074701533733,0.5666666666666667,0.0015930775523286256,0.02297975442464855,0.0001777991042703084,0.24970099667774087,0.3620032504004656,-0.0001591845672829011,0.004317300278740144,0.035535028284040905,0.10363049582248926,-0.00015262779658564707,0.0037830811714043423,0.4866666666666667,0.6466666666666666,0.00019755456030034268,True
trss_oracle_grid vs MNE,trss_oracle_grid,mne_interpolate_bads_spline,corr_mean,higher,300,100,0.8646258685879229,0.8076747770874269,0.9401490762205469,0.927297364672469,0.006538862050659164,0.20056324222504857,0.6633333333333333,0.006242293660213338,0.05695109150049621,1.0410880876666425e-18,0.5882170542635659,0.5841266550447705,0.0020134375342109683,0.019619260835489746,0.0957486231986552,0.3814218326896682,0.0018141968958110821,0.018081733911729625,0.5799166666666666,0.7434166666666662,1.6438232963157514e-18,True
trss_oracle_grid vs MNE,trss_oracle_grid,mne_interpolate_bads_spline,r2,higher,300,100,0.5711222240921839,0.010114773147451597,0.6274681135784671,0.4746417219989711,0.21988724699656909,4.867207878096579,0.72,0.09536063741393047,0.5610074509447323,4.322177082646019e-27,0.7180066445182725,0.4496024008789578,0.038466657765540035,0.8623413218594406,1.8608411539797032,9.96784793279473,0.03209774059618224,0.3255192103173414,0.6433333333333333,0.7966666666666666,2.593306249587612e-26,True
trss_oracle_grid vs MNE,trss_oracle_grid,mne_interpolate_bads_spline,runtime_s,lower,300,100,0.13317476883331134,0.017785981056658733,0.08079562949933455,0.009014414999910451,-8.02615538102831,-11.25901976638604,0.016666666666666666,-0.06674821449905725,-0.11538878777665255,8.973893289408063e-50,-0.9880398671096345,-0.6327930500259794,-8.721858589056477,-7.157962995922841,-15.136824467503,-8.650061302466264,-0.0804441529999167,-0.060797989138086435,0.003250000000000005,0.04,8.973893289408064e-49,True
