method,missing_mode,missing_value,metric,n,win_rate,median_improvement,mne_median,trss_median
trss_cv_tuned_seed0,high_variance,2.0,runtime_s,15,0.0,-5.272983268121397,0.0123810749992117,0.0671816140002192
trss_cv_tuned_seed0,nearby,0.1,mae,15,0.7333333333333333,0.19546903623989453,1.1182077176688933e-05,9.072487608382816e-06
trss_cv_tuned_seed0,nearby,0.1,nrmse,15,0.7333333333333333,0.20621626250919925,0.6799013318012794,0.6461624782752472
trss_cv_tuned_seed0,nearby,0.1,lsd,15,0.4666666666666667,-0.03303824431582185,0.7049502424838496,0.6536684312210639
trss_cv_tuned_seed0,nearby,0.1,runtime_s,15,0.0,-7.312538823639614,0.0118374270005006,0.1152100439994683
trss_cv_tuned_seed0,nearby,0.3,mae,15,0.8,0.34287681269969417,1.6725279526051387e-05,1.0374513195196802e-05
trss_cv_tuned_seed0,nearby,0.3,nrmse,15,0.8,0.32655042833825654,1.3183161549399234,0.7753903130352338
trss_cv_tuned_seed0,nearby,0.3,lsd,15,0.26666666666666666,-0.08834625600220619,0.7512578232029653,0.8957132130148804
trss_cv_tuned_seed0,nearby,0.3,runtime_s,15,0.0,-7.398644987136184,0.008091861000139,0.0834525139998731
trss_cv_tuned_seed0,nearby,0.4,mae,15,0.8666666666666667,0.4081382557442353,1.830426284738241e-05,1.15978189409816e-05
trss_cv_tuned_seed0,nearby,0.4,nrmse,15,0.8666666666666667,0.42783439124261646,1.2247769942706828,0.7869918006484764
trss_cv_tuned_seed0,nearby,0.4,lsd,15,0.6666666666666666,0.052663723925311705,0.9672120065313864,0.8009184242874697
trss_cv_tuned_seed0,nearby,0.4,runtime_s,15,0.0,-10.156181699176805,0.0088847779989009,0.0967929759990511
trss_cv_tuned_seed0,nearby,1.0,mae,15,0.6,0.017461373068755403,7.1426032661807575e-06,6.3411898567844025e-06
trss_cv_tuned_seed0,nearby,1.0,nrmse,15,0.6,0.02708836097799621,0.5755153769025986,0.5947864953281811
trss_cv_tuned_seed0,nearby,1.0,lsd,15,0.13333333333333333,-0.1582893632217196,0.4258205144358072,0.500511988798285
trss_cv_tuned_seed0,nearby,1.0,runtime_s,15,0.0,-7.328535217552966,0.0099080679992766,0.109618849999606
trss_cv_tuned_seed0,nearby,2.0,mae,15,0.4666666666666667,-0.00012531245594269694,7.580970696981434e-06,8.117269691909137e-06
trss_cv_tuned_seed0,nearby,2.0,nrmse,15,0.5333333333333333,0.024968301240787655,0.5876372404961155,0.7742185621595407
trss_cv_tuned_seed0,nearby,2.0,lsd,15,0.26666666666666666,-0.16428264712147123,0.4689318270436614,0.5889011773388293
trss_cv_tuned_seed0,nearby,2.0,runtime_s,15,0.0,-9.285619288856825,0.0086292880005203,0.0948318999999173
trss_cv_tuned_seed0,random,0.1,mae,15,0.6666666666666666,0.06099074615404905,8.167230697790527e-06,7.646342537145679e-06
trss_cv_tuned_seed0,random,0.1,nrmse,15,0.6666666666666666,0.0809954249250291,0.4818496385846271,0.4740122967599837
trss_cv_tuned_seed0,random,0.1,lsd,15,0.2,-0.14144054024168445,0.5065590318247709,0.4680969318627819
