dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file
synthetic_alpha,gsmooth,knn__k5,0.1,0.0674267524798742,0.2366953842825815,,-0.0980669952903523,synthetic_alpha__0.1_99,it05_all_datasets_raw.csv
synthetic_alpha,puy,knn__k5,0.1,0.4527206051792782,0.5287593769286291,,2.8907585354198218,synthetic_alpha__0.1_100,it05_all_datasets_raw.csv
synthetic_alpha,sobolev,knn__k5,0.1,0.5740137319571585,0.6466055383919869,,0.8285428410534305,synthetic_alpha__0.1_101,it05_all_datasets_raw.csv
synthetic_alpha,graph_time_tikhonov,knn__k5,0.1,0.3941616294506662,0.4597708106399363,,4.164087606905793,synthetic_alpha__0.1_102,it05_all_datasets_raw.csv
synthetic_alpha,trss,knn__k5,0.1,0.0714401810746247,0.2518038049247947,,-0.6002747049099598,synthetic_alpha__0.1_103,it05_all_datasets_raw.csv
synthetic_alpha,tv,knn__k5,0.1,0.0612990105774968,0.2169624420497063,,0.6886354275340842,synthetic_alpha__0.1_104,it05_all_datasets_raw.csv
synthetic_alpha,temporal_laplacian,knn__k5,0.1,0.4388175608066418,0.4993929009914183,,3.256114688622454,synthetic_alpha__0.1_105,it05_all_datasets_raw.csv
synthetic_alpha,heat_diffusion_temporal,knn__k5,0.1,0.0695237380685049,0.2417809030577253,,-0.3288368365853115,synthetic_alpha__0.1_106,it05_all_datasets_raw.csv
synthetic_alpha,wavelet_temporal,knn__k5,0.1,0.0839923691441463,0.2392312936802678,,19.515663205764486,synthetic_alpha__0.1_108,it05_all_datasets_raw.csv
synthetic_alpha,directed_tv,knn__k5,0.1,0.0845250845855988,0.2938433580088613,,-2.05965578096459,synthetic_alpha__0.1_109,it05_all_datasets_raw.csv
synthetic_alpha,linear,knn__k5,0.2,0.1771186437064046,0.4703932777932093,,-3.080086717047249,synthetic_alpha__0.2_110,it05_all_datasets_raw.csv
synthetic_alpha,nearest,knn__k5,0.2,0.1801851116769489,0.4795732212019263,,-3.2924019221232665,synthetic_alpha__0.2_111,it05_all_datasets_raw.csv
synthetic_alpha,mean,knn__k5,0.2,0.1208467294395676,0.3009477438018674,,0.7809578833742317,synthetic_alpha__0.2_112,it05_all_datasets_raw.csv
synthetic_alpha,idw,knn__k5,0.2,0.1289385495070781,0.3229735834621562,,0.2143593625954422,synthetic_alpha__0.2_113,it05_all_datasets_raw.csv
synthetic_alpha,spherical_spline,knn__k5,0.2,0.2359994730172166,0.620458405288514,,-5.408366276674806,synthetic_alpha__0.2_114,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_tps,knn__k5,0.2,0.1869920693665572,0.4833347969304404,,-3.278142546892567,synthetic_alpha__0.2_115,it05_all_datasets_raw.csv
synthetic_alpha,rbfi_mq,knn__k5,0.2,0.1937602928304707,0.5036916253144323,,-3.6877667176084064,synthetic_alpha__0.2_116,it05_all_datasets_raw.csv
synthetic_alpha,spline_surface,knn__k5,0.2,0.2116542553159593,0.5801754853045783,,-4.71292687801629,synthetic_alpha__0.2_117,it05_all_datasets_raw.csv
synthetic_alpha,gsp,knn__k5,0.2,0.1381233878653398,0.350085663062642,,-0.4319536236682196,synthetic_alpha__0.2_118,it05_all_datasets_raw.csv
synthetic_alpha,tikhonov,knn__k5,0.2,0.2390505926797513,0.3669630036983785,,10.634457046315871,synthetic_alpha__0.2_119,it05_all_datasets_raw.csv
synthetic_alpha,bgsrp,knn__k5,0.2,0.5385334697492278,0.6386876513254471,,1.4031170756942917,synthetic_alpha__0.2_120,it05_all_datasets_raw.csv
synthetic_alpha,gsmooth,knn__k5,0.2,0.1245899284187803,0.3110432181465759,,0.5011609727748437,synthetic_alpha__0.2_121,it05_all_datasets_raw.csv
synthetic_alpha,puy,knn__k5,0.2,0.4773615905297523,0.5600590168739494,,2.482761538801909,synthetic_alpha__0.2_122,it05_all_datasets_raw.csv
synthetic_alpha,sobolev,knn__k5,0.2,0.5826943570940857,0.6553130464069873,,0.7035072202529934,synthetic_alpha__0.2_123,it05_all_datasets_raw.csv
synthetic_alpha,graph_time_tikhonov,knn__k5,0.2,0.4222336517846605,0.4963482001159005,,3.6291559813844407,synthetic_alpha__0.2_124,it05_all_datasets_raw.csv
synthetic_alpha,trss,knn__k5,0.2,0.1377599696978631,0.3489309767717081,,-0.4087433402390129,synthetic_alpha__0.2_125,it05_all_datasets_raw.csv
synthetic_alpha,tv,knn__k5,0.2,0.1215400083518392,0.3034937748821681,,0.722614764012065,synthetic_alpha__0.2_126,it05_all_datasets_raw.csv
synthetic_alpha,temporal_laplacian,knn__k5,0.2,0.4623284644948273,0.529708222297255,,2.8621298301620217,synthetic_alpha__0.2_127,it05_all_datasets_raw.csv
synthetic_alpha,heat_diffusion_temporal,knn__k5,0.2,0.1333961269158251,0.3281250700302644,,-0.0076145402509831,synthetic_alpha__0.2_128,it05_all_datasets_raw.csv
