dataset,graph,method,missing_ratio,n,mean,median,std
bci_competition_iv_2a_proxy,kalofolias,bgsrp,0.4,1,7.852512481225797e-07,7.852512481225797e-07,
bci_competition_iv_2a_proxy,kalofolias,directed_tv,0.1,1,3.284131844573027e-07,3.284131844573027e-07,
bci_competition_iv_2a_proxy,kalofolias,directed_tv,0.2,1,3.733728146571364e-07,3.733728146571364e-07,
bci_competition_iv_2a_proxy,kalofolias,directed_tv,0.3,1,4.7257470940165e-07,4.7257470940165e-07,
bci_competition_iv_2a_proxy,kalofolias,directed_tv,0.4,1,5.344575612254668e-07,5.344575612254668e-07,
bci_competition_iv_2a_proxy,kalofolias,graph_time_tikhonov,0.1,1,3.956715824931401e-07,3.956715824931401e-07,
bci_competition_iv_2a_proxy,kalofolias,graph_time_tikhonov,0.2,1,3.959514571062043e-07,3.959514571062043e-07,
bci_competition_iv_2a_proxy,kalofolias,graph_time_tikhonov,0.3,1,5.484239285456414e-07,5.484239285456414e-07,
bci_competition_iv_2a_proxy,kalofolias,graph_time_tikhonov,0.4,1,6.030356327615863e-07,6.030356327615863e-07,
bci_competition_iv_2a_proxy,kalofolias,gsmooth,0.1,1,5.202778210695099e-07,5.202778210695099e-07,
bci_competition_iv_2a_proxy,kalofolias,gsmooth,0.2,1,5.785477361790899e-07,5.785477361790899e-07,
bci_competition_iv_2a_proxy,kalofolias,gsmooth,0.3,1,6.679980323148641e-07,6.679980323148641e-07,
bci_competition_iv_2a_proxy,kalofolias,gsmooth,0.4,1,7.985829749897809e-07,7.985829749897809e-07,
bci_competition_iv_2a_proxy,kalofolias,heat_diffusion_temporal,0.1,1,3.069541893373624e-07,3.069541893373624e-07,
bci_competition_iv_2a_proxy,kalofolias,heat_diffusion_temporal,0.2,1,3.792717648479129e-07,3.792717648479129e-07,
bci_competition_iv_2a_proxy,kalofolias,heat_diffusion_temporal,0.3,1,4.125249381220975e-07,4.125249381220975e-07,
bci_competition_iv_2a_proxy,kalofolias,heat_diffusion_temporal,0.4,1,5.21382835026876e-07,5.21382835026876e-07,
bci_competition_iv_2a_proxy,kalofolias,idw,0.1,1,5.187028572475134e-07,5.187028572475134e-07,
bci_competition_iv_2a_proxy,kalofolias,idw,0.2,1,5.580017619729993e-07,5.580017619729993e-07,
bci_competition_iv_2a_proxy,kalofolias,idw,0.3,1,6.872075723807314e-07,6.872075723807314e-07,
bci_competition_iv_2a_proxy,kalofolias,idw,0.4,1,7.295896586674289e-07,7.295896586674289e-07,
bci_competition_iv_2a_proxy,kalofolias,linear,0.1,1,4.838263347404481e-07,4.838263347404481e-07,
bci_competition_iv_2a_proxy,kalofolias,linear,0.2,1,5.293538357471008e-07,5.293538357471008e-07,
bci_competition_iv_2a_proxy,kalofolias,linear,0.3,1,6.103506514420933e-07,6.103506514420933e-07,
bci_competition_iv_2a_proxy,kalofolias,linear,0.4,1,7.134864987655141e-07,7.134864987655141e-07,
bci_competition_iv_2a_proxy,kalofolias,mean,0.1,1,4.386105034439547e-07,4.386105034439547e-07,
bci_competition_iv_2a_proxy,kalofolias,mean,0.2,1,6.72382257111105e-07,6.72382257111105e-07,
bci_competition_iv_2a_proxy,kalofolias,mean,0.3,1,7.168797416450799e-07,7.168797416450799e-07,
bci_competition_iv_2a_proxy,kalofolias,mean,0.4,1,6.475977930199143e-07,6.475977930199143e-07,
bci_competition_iv_2a_proxy,kalofolias,nearest,0.1,1,4.6038581912016166e-07,4.6038581912016166e-07,
bci_competition_iv_2a_proxy,kalofolias,nearest,0.2,1,6.187416961638457e-07,6.187416961638457e-07,
