dataset,method,family,graph,missing_ratio,mae,rmse,snr,block,source_file
physionet_eegmmidb,graph_time_tikhonov,tv_time,kalofolias,0.3,2.566681727864582e-05,3.756877374531117e-05,6.078561409103173,physionet_eegmmidb__0.3_58,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,trss,tv_time,kalofolias,0.3,1.0512875901115283e-05,2.49693937552142e-05,3.2520073706133683,physionet_eegmmidb__0.3_59,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,tv,tv_time,kalofolias,0.3,1.0353917375649607e-05,2.456620700121745e-05,2.3766900026319155,physionet_eegmmidb__0.3_60,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,temporal_laplacian,tv_time,kalofolias,0.3,3.3761631815303124e-05,4.994377333773788e-05,2.647867251753537,physionet_eegmmidb__0.3_61,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,heat_diffusion_temporal,tv_time,kalofolias,0.3,9.19458767355562e-06,2.306982329085629e-05,3.4733751890338107,physionet_eegmmidb__0.3_62,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,wavelet_temporal,tv_time,kalofolias,0.3,1.3232830812836606e-05,3.312855716149068e-05,20.916060597986327,physionet_eegmmidb__0.3_64,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,directed_tv,tv_time,kalofolias,0.3,1.0478072939233451e-05,2.694792188463381e-05,-1.2891986222931118,physionet_eegmmidb__0.3_65,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,linear,instant,kalofolias,0.4,1.4934572507227508e-05,3.2837201282807104e-05,0.2245550521733801,physionet_eegmmidb__0.4_66,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,nearest,instant,kalofolias,0.4,1.3420641546896011e-05,3.336044268009965e-05,1.844007301480401,physionet_eegmmidb__0.4_67,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,mean,instant,kalofolias,0.4,1.3026974058324264e-05,2.7030027078236707e-05,2.288527200739686,physionet_eegmmidb__0.4_68,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,idw,instant,kalofolias,0.4,1.2359891507913451e-05,2.531002171891384e-05,3.523653105700364,physionet_eegmmidb__0.4_69,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,spherical_spline,instant,kalofolias,0.4,3.191172100647866e-05,7.488821757205861e-05,-2.6242430304903777,physionet_eegmmidb__0.4_70,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,rbfi_tps,instant,kalofolias,0.4,1.9502892992043003e-05,4.195453714423834e-05,0.6208276468817894,physionet_eegmmidb__0.4_71,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,rbfi_mq,instant,kalofolias,0.4,2.0971923826638187e-05,4.630239011967565e-05,-0.5692490923757543,physionet_eegmmidb__0.4_72,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,spline_surface,instant,kalofolias,0.4,2.734559546378329e-05,6.407504397135085e-05,-4.35987953105799,physionet_eegmmidb__0.4_73,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,gsp,instant,kalofolias,0.4,1.3252836530050143e-05,2.7498686816034563e-05,1.5736573449547864,physionet_eegmmidb__0.4_74,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,tikhonov,instant,kalofolias,0.4,1.5757108111806174e-05,2.5540656794536268e-05,10.146816721102969,physionet_eegmmidb__0.4_75,it46_physionet_multisubj_kalofolias_raw.csv
physionet_eegmmidb,bgsrp,instant,kalofolias,0.4,2.3771131964810458e-05,3.28070332326096e-05,6.16597007365759,physionet_eegmmidb__0.4_76,it46_physionet_multisubj_kalofolias_raw.csv
