dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file,family
synthetic_beta,gsp,knng__k4_sigma1,0.1,0.0697781050432518,0.248496106903379,,-0.7207730879045634,synthetic_beta__0.1_96,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,tikhonov,knng__k4_sigma1,0.1,0.1399320713696996,0.2600116801701466,,15.943493792878575,synthetic_beta__0.1_97,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,bgsrp,knng__k4_sigma1,0.1,0.4483318686669656,0.5508319129530528,,2.817654623855945,synthetic_beta__0.1_98,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,gsmooth,knng__k4_sigma1,0.1,0.0657664208059119,0.2320261388498025,,-0.1251725973716644,synthetic_beta__0.1_99,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,puy,knng__k4_sigma1,0.1,0.3192759802384165,0.3997472730462788,,6.090578990097986,synthetic_beta__0.1_100,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,sobolev,knng__k4_sigma1,0.1,0.5418394447404367,0.6100134734631769,,1.402824849535071,synthetic_beta__0.1_101,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,graph_time_tikhonov,knng__k4_sigma1,0.1,0.3321848410396358,0.3981239121670869,,5.826078742169494,synthetic_beta__0.1_102,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,trss,knng__k4_sigma1,0.1,0.069166428427077,0.245684393130101,,-0.6226043130692598,synthetic_beta__0.1_103,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,tv,knng__k4_sigma1,0.1,0.0657877001514193,0.2320720807038319,,-0.127456444679295,synthetic_beta__0.1_104,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,temporal_laplacian,knng__k4_sigma1,0.1,0.4018464548362836,0.4623684317158789,,4.117108602867941,synthetic_beta__0.1_105,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,heat_diffusion_temporal,knng__k4_sigma1,0.1,0.0656624933649288,0.2291522744306302,,-0.0158892794266343,synthetic_beta__0.1_106,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,wavelet_temporal,knng__k4_sigma1,0.1,0.0941587135091627,0.2494258145041695,,15.359621627632036,synthetic_beta__0.1_108,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,directed_tv,knng__k4_sigma1,0.1,0.0699668923463824,0.248465828430132,,-0.6880104952593663,synthetic_beta__0.1_109,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,linear,knng__k4_sigma1,0.2,0.1623711442886609,0.4199936236966927,,-2.1649653627217624,synthetic_beta__0.2_110,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,nearest,knng__k4_sigma1,0.2,0.1735483953645094,0.4632412597566516,,-3.027617132778527,synthetic_beta__0.2_111,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,mean,knng__k4_sigma1,0.2,0.1343883515386373,0.3289381591555257,,-0.0439228421786003,synthetic_beta__0.2_112,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,idw,knng__k4_sigma1,0.2,0.134560782294406,0.3321385736544861,,-0.0989511101807839,synthetic_beta__0.2_113,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,spherical_spline,knng__k4_sigma1,0.2,0.2204097595538203,0.5706900080788788,,-4.824230470989945,synthetic_beta__0.2_114,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,rbfi_tps,knng__k4_sigma1,0.2,0.1797950279543489,0.4648551468454519,,-3.0600384621869696,synthetic_beta__0.2_115,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,rbfi_mq,knng__k4_sigma1,0.2,0.1864798868102987,0.4801330310013145,,-3.342799755685587,synthetic_beta__0.2_116,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,spline_surface,knng__k4_sigma1,0.2,0.2057853567915946,0.542070122300742,,-4.373594051004659,synthetic_beta__0.2_117,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,gsp,knng__k4_sigma1,0.2,0.1377224328447267,0.3501167013143821,,-0.4444586041902544,synthetic_beta__0.2_118,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,tikhonov,knng__k4_sigma1,0.2,0.1974028445752596,0.3547348732793752,,14.209654703455517,synthetic_beta__0.2_119,it36_3syn_beta_low_missing_raw.csv,
synthetic_beta,bgsrp,knng__k4_sigma1,0.2,0.4628593867994044,0.5791818428648938,,2.68183144015964,synthetic_beta__0.2_120,it36_3syn_beta_low_missing_raw.csv,
