combo,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|physionet_eegmmidb|0.2,5,1.000625760350867e-05,0.0,1.000625760350867e-05,3.4354596441065696e-05,,-1.861699622835737
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|physionet_eegmmidb|0.3,5,1.4196034516882632e-05,0.0,1.4196034516882632e-05,3.607148485111072e-05,,0.3417139918126847
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|physionet_eegmmidb|0.4,6,2.7407203105943783e-05,0.0,2.7407203105943783e-05,6.421940039561059e-05,,-2.4727308057848365
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_alpha|0.1,15,0.363683314967057,0.0,0.363683314967057,1.7420712241529503,,-12.999275934669356
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_alpha|0.2,15,0.2116542553159593,0.0,0.2116542553159593,0.5801754853045783,,-4.71292687801629
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_alpha|0.3,15,0.3288038895279771,0.0,0.3288038895279771,0.7116487828618274,,-4.127967744547699
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_alpha|0.4,14,0.4659992072144946,0.0,0.4659992072144946,0.8721669325779527,,-5.0571724105034335
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_beta|0.1,14,0.4583868309598552,0.0,0.4583868309598552,1.7384305001759384,,-17.116119806923578
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_beta|0.2,14,0.2057853567915946,0.0,0.2057853567915946,0.542070122300742,,-4.373594051004659
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_beta|0.3,14,0.2678459665275379,0.0,0.2678459665275379,0.5768928675659636,,-3.122079977228432
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_beta|0.4,14,0.3544730713040673,0.0,0.3544730713040673,0.6678272000332406,,-3.019574940972448
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_broad|0.1,14,0.0950698397827097,0.0,0.0950698397827097,0.3316206493211244,,-2.26611181669381
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_broad|0.2,14,0.1478793613197529,0.0,0.1478793613197529,0.4115605460636899,,-2.465014294174164
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_broad|0.3,15,0.2493241824025759,0.0,0.2493241824025759,0.5384427810885983,,-2.6850121325177736
spline_surface|aew__k4_sigma_corr0_5_sigma_dist1|synthetic_broad|0.4,15,0.3169304456359818,0.0,0.3169304456359818,0.6306072721136587,,-3.2061123874996738
spline_surface|aew|physionet_eegmmidb|0.4,4,6.143188754502473e-06,4.285042496593055e-08,6.14637428801549e-06,1.3343535330116435e-05,9.226063131918954e-05,12.251396263723493
spline_surface|gaussian__sigma1|bci_competition_iv_2a_proxy|0.1,10,5.496227635859964e-07,8.095608029863442e-08,5.374077314566218e-07,1.9155957971313916e-06,,11.67263086284379
spline_surface|gaussian__sigma1|bci_competition_iv_2a_proxy|0.2,10,5.938372606871423e-07,7.704747548610976e-08,5.833126284822155e-07,1.986258360391208e-06,,11.327308700251205
spline_surface|gaussian__sigma1|bci_competition_iv_2a_proxy|0.3,10,7.13405712386642e-07,1.0027840648603974e-07,7.036312347780578e-07,2.726343695264486e-06,,10.535277759879321
spline_surface|gaussian__sigma1|bci_competition_iv_2a_proxy|0.4,10,8.036286674504135e-07,8.67735464297653e-08,8.155995857252226e-07,2.8727453802041666e-06,,10.004153366399619
spline_surface|gaussian__sigma1|mne_sample_proxy|0.1,1,2.178437718645708e-07,,2.178437718645708e-07,6.87787458994814e-07,,11.389905823570958
spline_surface|gaussian__sigma1|mne_sample_proxy|0.2,1,2.5432321201973425e-07,,2.5432321201973425e-07,9.276370184757704e-07,,10.717497305089193
spline_surface|gaussian__sigma1|mne_sample_proxy|0.3,1,2.6023681105279374e-07,,2.6023681105279374e-07,6.949808361121666e-07,,10.617670020075153
spline_surface|gaussian__sigma1|physionet_eegmmidb|0.1,24,6.026061991732035e-06,4.624522309944798e-07,6.103291383118655e-06,2.689794426992805e-05,,-5.317389450902411
spline_surface|gaussian__sigma1|physionet_eegmmidb|0.2,24,9.951803576151054e-06,6.990796610358195e-07,1.000625760350867e-05,3.416763881828716e-05,,-2.135988142863897
spline_surface|gaussian__sigma1|physionet_eegmmidb|0.3,25,1.407830380902051e-05,9.187441125663235e-07,1.4196034516882632e-05,3.577233642060298e-05,,0.18783387235915885
spline_surface|gaussian__sigma1|physionet_eegmmidb|0.4,27,2.834480804255087e-05,2.206110104175546e-06,2.742257079940379e-05,6.641635667035771e-05,,-2.7266492125472883
spline_surface|gaussian__sigma1|synthetic_alpha|0.1,17,0.363683314967057,0.0,0.363683314967057,1.7420712241529503,,-12.999275934669356
spline_surface|gaussian__sigma1|synthetic_alpha|0.2,17,0.2116542553159593,0.0,0.2116542553159593,0.5801754853045783,,-4.71292687801629
spline_surface|gaussian__sigma1|synthetic_alpha|0.3,17,0.3288038895279771,0.0,0.3288038895279771,0.7116487828618274,,-4.127967744547699
spline_surface|gaussian__sigma1|synthetic_alpha|0.4,16,0.4659992072144946,0.0,0.4659992072144946,0.8721669325779527,,-5.0571724105034335
spline_surface|gaussian__sigma1|synthetic_beta|0.1,16,0.4583868309598552,0.0,0.4583868309598552,1.7384305001759384,,-17.116119806923578
spline_surface|gaussian__sigma1|synthetic_beta|0.2,16,0.2057853567915946,0.0,0.2057853567915946,0.542070122300742,,-4.373594051004659
spline_surface|gaussian__sigma1|synthetic_beta|0.3,16,0.2678459665275379,0.0,0.2678459665275379,0.5768928675659636,,-3.122079977228432
spline_surface|gaussian__sigma1|synthetic_beta|0.4,16,0.3544730713040673,0.0,0.3544730713040673,0.6678272000332406,,-3.019574940972448
spline_surface|gaussian__sigma1|synthetic_broad|0.1,18,0.0950698397827097,0.0,0.0950698397827097,0.3316206493211244,,-2.26611181669381
spline_surface|gaussian__sigma1|synthetic_broad|0.2,18,0.1478793613197529,0.0,0.1478793613197529,0.4115605460636899,,-2.465014294174164
spline_surface|gaussian__sigma1|synthetic_broad|0.3,19,0.2493241824025759,0.0,0.2493241824025759,0.5384427810885983,,-2.685012132517773
spline_surface|gaussian__sigma1|synthetic_broad|0.4,19,0.3169304456359818,0.0,0.3169304456359818,0.6306072721136587,,-3.2061123874996738
spline_surface|gaussian|physionet_eegmmidb|0.4,4,6.143188754502473e-06,4.285042496593055e-08,6.14637428801549e-06,1.3343535330116435e-05,9.226063131918954e-05,12.251396263723493
spline_surface|kalofolias|bci_competition_iv_2a_proxy|0.1,1,5.494502716915971e-07,,5.494502716915971e-07,1.7954290973950168e-06,,11.631670225369358
spline_surface|kalofolias|bci_competition_iv_2a_proxy|0.2,1,5.78841159160863e-07,,5.78841159160863e-07,2.420843785294339e-06,,11.405360104893354
spline_surface|kalofolias|bci_competition_iv_2a_proxy|0.3,1,5.969154062059123e-07,,5.969154062059123e-07,2.589589543358548e-06,,11.27182627011561
spline_surface|kalofolias|bci_competition_iv_2a_proxy|0.4,1,7.043773751744363e-07,,7.043773751744363e-07,2.8836467059249004e-06,,10.552900173035493
spline_surface|kalofolias|mne_sample_proxy|0.1,1,2.086873314682119e-07,,2.086873314682119e-07,6.386226915267125e-07,,11.576396446658812
spline_surface|kalofolias|mne_sample_proxy|0.2,1,2.7889299210382896e-07,,2.7889299210382896e-07,1.150070086240382e-06,,10.316981288448698
spline_surface|kalofolias|mne_sample_proxy|0.3,1,3.127166757718497e-07,,3.127166757718497e-07,1.182430723487392e-06,,9.819846897153717
spline_surface|kalofolias|physionet_eegmmidb|0.1,24,5.998045549985023e-06,4.900706416627721e-07,6.11537885763636e-06,2.6772890015626188e-05,,-5.110765046144748
spline_surface|kalofolias|physionet_eegmmidb|0.2,24,9.972555080634867e-06,8.488754777093308e-07,1.000625760350867e-05,3.423888519134039e-05,,-2.0628813373805537
spline_surface|kalofolias|physionet_eegmmidb|0.3,25,1.4477428244205358e-05,1.1436287785583926e-06,1.4196034516882632e-05,3.6786493648831525e-05,,0.11098220456743882
spline_surface|kalofolias|physionet_eegmmidb|0.4,30,2.4118523001138117e-05,7.394165445244431e-06,2.7376399284863538e-05,5.6373380781326254e-05,9.226063131918954e-05,-0.7851606431003086
spline_surface|kalofolias|synthetic_alpha|0.1,17,0.363683314967057,0.0,0.363683314967057,1.7420712241529503,,-12.999275934669356
spline_surface|kalofolias|synthetic_alpha|0.2,17,0.2116542553159593,0.0,0.2116542553159593,0.5801754853045783,,-4.71292687801629
spline_surface|kalofolias|synthetic_alpha|0.3,17,0.3288038895279771,0.0,0.3288038895279771,0.7116487828618274,,-4.127967744547699
spline_surface|kalofolias|synthetic_alpha|0.4,16,0.4659992072144946,0.0,0.4659992072144946,0.8721669325779527,,-5.0571724105034335
spline_surface|kalofolias|synthetic_beta|0.1,17,0.4583868309598552,0.0,0.4583868309598552,1.7384305001759384,,-17.116119806923578
spline_surface|kalofolias|synthetic_beta|0.2,17,0.2057853567915946,0.0,0.2057853567915946,0.542070122300742,,-4.373594051004659
spline_surface|kalofolias|synthetic_beta|0.3,17,0.2678459665275379,0.0,0.2678459665275379,0.5768928675659636,,-3.122079977228432
spline_surface|kalofolias|synthetic_beta|0.4,17,0.3544730713040673,0.0,0.3544730713040673,0.6678272000332406,,-3.019574940972448
spline_surface|kalofolias|synthetic_broad|0.1,18,0.0950698397827097,0.0,0.0950698397827097,0.3316206493211244,,-2.26611181669381
spline_surface|kalofolias|synthetic_broad|0.2,18,0.1478793613197529,0.0,0.1478793613197529,0.4115605460636899,,-2.465014294174164
spline_surface|kalofolias|synthetic_broad|0.3,19,0.2493241824025759,0.0,0.2493241824025759,0.5384427810885983,,-2.685012132517773
spline_surface|kalofolias|synthetic_broad|0.4,19,0.3169304456359818,0.0,0.3169304456359818,0.6306072721136587,,-3.2061123874996738
spline_surface|knn__k3|bci_competition_iv_2a_proxy|0.1,13,5.455600771790458e-07,6.122695333181944e-08,5.599136879339289e-07,1.850844824666851e-06,,11.687827993680113
spline_surface|knn__k3|bci_competition_iv_2a_proxy|0.2,13,6.123419897328252e-07,5.028251380474499e-08,6.394955355366781e-07,2.194814679093736e-06,,11.174993112474867
spline_surface|knn__k3|bci_competition_iv_2a_proxy|0.3,14,7.353207752460584e-07,1.0485763236105211e-07,7.039562602804343e-07,2.7463781628156206e-06,,10.405730297731523
spline_surface|knn__k3|bci_competition_iv_2a_proxy|0.4,14,8.202421595754327e-07,8.043367034757463e-08,8.18425420953701e-07,2.781337766170074e-06,,9.910329345736784
spline_surface|knn__k3|mne_sample_proxy|0.1,4,2.0240145904734404e-07,2.3362232200573857e-08,1.936738775423237e-07,7.056578475406206e-07,,11.72969419703513
spline_surface|knn__k3|mne_sample_proxy|0.2,4,2.3134970498079835e-07,1.574914565671603e-08,2.3327875826877812e-07,8.686832475074074e-07,,11.136360496592811
spline_surface|knn__k3|mne_sample_proxy|0.3,6,2.893065145409915e-07,2.67155499031687e-08,2.9040890257114003e-07,1.040268089725181e-06,,10.173209364904928
spline_surface|knn__k3|mne_sample_proxy|0.4,5,3.0567395335865615e-07,2.9693972024043287e-08,3.13251706706856e-07,1.0995170332119533e-06,,9.93598224291304
spline_surface|knn__k3|physionet_eegmmidb|0.1,77,6.108793474901396e-06,5.937001392140391e-07,6.088738833364483e-06,2.7267224709908784e-05,,-4.92627844659239
spline_surface|knn__k3|physionet_eegmmidb|0.2,77,1.0174845448201625e-05,7.869647121933051e-07,1.000625760350867e-05,3.493341097880703e-05,,-2.0540164583160756
