method,graph,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
linear,knn__k3,674,0.07128481179327266,0.11812940293608681,1.1003256707190162e-05,0.158244146730129,0.3807715730091124,2.4661805375333685
linear,knn__k5,246,0.17631338778987032,0.1017452800263916,0.1771186437064046,0.4041616942259507,,-1.4363351459688793
linear,knng,164,0.08961236129672717,0.11157901296218815,1.2347396975398495e-05,0.2128646195036238,0.35267846913334705,1.373182116418589
linear,knng__k4_sigma1,226,0.17436864898592572,0.10254667485788027,0.1771186437064046,0.3998817351187815,,-1.3888202453068963
linear,nnk,84,0.08747895344140033,0.1114169433282948,1.2083779708371923e-05,0.20779688480889114,0.3442843638385479,1.553978512526408
linear,nnk__k4,251,0.17245673012511023,0.10329578172498538,0.1771186437064046,0.39564413016648825,,-1.3476599319611606
linear,vknng,164,0.08961236129672717,0.11157901296218815,1.2347396975398495e-05,0.2128646195036238,0.35267846913334705,1.373182116418589
linear,vknng__alpha1_k4_k_max8_k_min2,226,0.17436864898592572,0.10254667485788029,0.1771186437064046,0.3998817351187815,,-1.3888202453068963
mean,aew,4,9.263663194444444e-06,1.6794113563800925e-07,9.251927083333333e-06,1.9195076265932905e-05,0.00012294686791062499,9.205029205899866
mean,aew__k4_sigma_corr0_5_sigma_dist1,210,0.1461608648781884,0.08775344353626925,0.1343883515386373,0.3180852799191563,,0.19460317671794017
mean,gaussian,389,0.2026703633013659,0.2659550669350552,8.860107029060571e-06,0.24761648027219282,0.20907016585310453,33.53529194898619
mean,gaussian__sigma1,364,0.0988399929846929,0.09919998021063726,0.07560012889318016,0.21536422103216354,,1.9207002405494316
mean,gaussian__sigma1.0,256,13.901898774696834,24.834709957944277,0.0631541433931978,40.63248705838933,220.5068441927856,-inf
mean,kalofolias,479,0.14286007873735673,0.18063931479443188,0.0853382750496039,0.2477948760632303,0.22203666235914368,10.523642840802962
mean,knn,8,9.263663194444444e-06,1.5548327895229722e-07,9.251927083333333e-06,1.9195076265932905e-05,0.00012294686791062499,9.205029205899866
mean,knn__k3,1976,3.4147722262051436,13.12863796539654,9.480151515151514e-06,10.240414204202352,85.82595929373753,-inf
mean,knn__k5,286,2.1409162918057016,10.946476834368454,0.13159978612836398,5.790563532952348,213.40474026006055,-inf
mean,knng,4,9.263663194444444e-06,1.6794113563800925e-07,9.251927083333333e-06,1.9195076265932905e-05,0.00012294686791062499,9.205029205899866
mean,knng__k3,4,4.153728865422155e-06,2.8206009369864518e-06,4.2278431508643374e-06,4.770507781671935e-06,4.153728865422155e-06,-0.7361330320911298
mean,knng__k4_sigma1,226,0.14750202930383555,0.08679177680002112,0.1343883515386373,0.32121442769375746,,0.1675969771906591
mean,nnk,4,9.263663194444444e-06,1.6794113563800925e-07,9.251927083333333e-06,1.9195076265932905e-05,0.00012294686791062499,9.205029205899866
mean,nnk__k4,251,0.14607012543799808,0.0875532619260874,0.1343883515386373,0.3181514269447016,,0.18379672105827835
mean,vknng,4,9.263663194444444e-06,1.6794113563800925e-07,9.251927083333333e-06,1.9195076265932905e-05,0.00012294686791062499,9.205029205899866
mean,vknng__alpha1_k4_k_max8_k_min2,226,0.14750202930383555,0.0867917768000211,0.1343883515386373,0.32121442769375746,,0.1675969771906591
nearest,aew,4,1.046318359375e-05,1.0756807575267711e-07,1.0461458333333333e-05,2.2378167086346388e-05,0.0001417870495353,7.770692814905258
nearest,aew__k4_sigma_corr0_5_sigma_dist1,210,0.1879773129567272,0.1132612164605738,0.1801851116769489,0.4374431143445712,,-2.217192484532164
nearest,gaussian,349,0.2576216464841864,0.3323380287545103,1.1112443127915382e-05,0.3170286887746492,0.2658316791322093,32.60345947736426
nearest,gaussian__sigma1,364,0.12696018135639933,0.12770797477408774,0.09412871929261585,0.29574849242784257,,0.1939246890870227
nearest,gaussian__sigma1.0,232,22.175771281455603,38.18222016288462,0.0670986737540018,58.740873065805104,367.8246725014923,-inf
nearest,kalofolias,479,0.18143400953220698,0.2272565561425964,0.1023458230485613,0.3306931961387136,0.2775533953337102,8.927757088455483
nearest,knn,8,1.046318359375e-05,9.95886866256852e-08,1.0461458333333333e-05,2.2378167086346388e-05,0.0001417870495353,7.770692814905258
nearest,knn__k3,1815,4.919824780445172,19.510252254490997,1.056767161852826e-05,13.554903384278958,131.0542572250164,-inf
nearest,knn__k5,286,3.2981280487750726,17.033462573828388,0.1735483953645094,8.04697836660304,343.06088234325637,-inf
nearest,knng,4,1.046318359375e-05,1.0756807575267711e-07,1.0461458333333333e-05,2.2378167086346388e-05,0.0001417870495353,7.770692814905258
nearest,knng__k4_sigma1,226,0.18957538938263355,0.11199933193124152,0.1801851116769489,0.4414017612832821,,-2.259354322254454
nearest,nnk,4,1.046318359375e-05,1.0756807575267711e-07,1.0461458333333333e-05,2.2378167086346388e-05,0.0001417870495353,7.770692814905258
nearest,nnk__k4,251,0.1876424455361063,0.11291756661686683,0.1801851116769489,0.4370292074893906,,-2.220704492092211
nearest,vknng,4,1.046318359375e-05,1.0756807575267711e-07,1.0461458333333333e-05,2.2378167086346388e-05,0.0001417870495353,7.770692814905258
nearest,vknng__alpha1_k4_k_max8_k_min2,226,0.18957538938263355,0.11199933193124151,0.1801851116769489,0.4414017612832821,,-2.259354322254454
puy,aew,4,1.416194841124364e-05,8.396303270417546e-08,1.4129202963214188e-05,1.8565830516579743e-05,0.00012751959572745,10.187095758671086
puy,aew__k4_sigma_corr0_5_sigma_dist1,194,0.18240340911802594,0.1008682307424382,0.1969651078379898,0.39748569955244256,,21.520950056891614
puy,gaussian,4,2.379564292286638e-05,5.636620672611484e-08,2.379321859279153e-05,3.0207671661219475e-05,0.00019046478883405,6.188881126402493
puy,gaussian__sigma1,348,0.316058424496454,0.2647293743462162,0.5141013637526756,0.3627589470532152,,3.0481812078705057
puy,kalofolias,319,0.3998175622185345,0.2906436293360724,0.5968488467893917,0.4557345083566035,0.000187652728893,1.7926137979600092
puy,knn,8,1.5094188342622163e-05,1.976400534986076e-06,1.5093013153126179e-05,1.9814235839033246e-05,0.0001339316069554875,9.74917961781919
puy,knn__k3,612,0.13894985553797706,0.19138424338612936,2.3883368871648794e-05,0.18228491923636217,,6.84333603630474
puy,knn__k5,230,0.43302858674009803,0.13906169573762736,0.4773615905297523,0.5162572931611116,,2.7723563373964732
puy,knng,4,1.54891760947556e-05,9.069885985040324e-08,1.5456121465937313e-05,2.020144968330815e-05,0.00013604992747955,9.501020474084424
puy,knng__k4_sigma1,210,0.35704654959739673,0.1251594774486003,0.3911115757692635,0.46151619820494666,,4.709036754877914
puy,nnk,4,8.660999623354283e-06,5.6147064050037936e-08,8.66313588877019e-06,1.3279022262764179e-05,9.407281217498786e-05,12.889031422443988
puy,nnk__k4,235,0.2422785843308989,0.10956091166483735,0.2729532473135896,0.426430631623605,,12.07911168530938
puy,vknng,4,1.5429070120688306e-05,7.879385268007685e-08,1.5394207361107765e-05,2.0172387407058733e-05,0.0001359731675043,9.51373740797455
puy,vknng__alpha1_k4_k_max8_k_min2,210,0.3982789347216397,0.13635973156067882,0.4455988451835296,0.49117149060079873,,3.5703119082730463
rbfi_mq,aew,164,0.1760763265930735,0.23479635386078143,1.9317615758109925e-05,0.4138470049983723,1.087864861200912,-1.3963966629955378
rbfi_mq,aew__k4_sigma_corr0_5_sigma_dist1,194,0.20420023307207172,0.12127144551882447,0.1937602928304707,0.47411951460741597,,-2.9069589982178208
rbfi_mq,gaussian,124,0.17465640460624132,0.23461282888246618,1.9317615758109925e-05,0.4105096348894792,1.0790924798940345,-1.2814143337803805
rbfi_mq,gaussian__sigma1,348,0.13487530049467225,0.13803351336499892,0.0895496117788872,0.31344338776290714,,-0.4505376099347438
rbfi_mq,kalofolias,479,0.1600861082751536,0.17693464703902076,0.1076814030559054,0.37356382129737736,1.087864861200912,-1.6590423025702445
rbfi_mq,knn,88,0.16407153161349225,0.23159523362095066,1.7124391027528937e-05,0.3856310577140944,1.01369836469731,-0.42427333417647795
rbfi_mq,knn__k3,612,0.07989770749543036,0.12496891633877033,1.8982893384739097e-05,0.18582952202911165,,0.721480489391212
rbfi_mq,knn__k5,230,0.20801873730511553,0.11903070126752964,0.1937602928304707,0.48299836946194286,,-2.9714122692884595
