combination,best_method,best_mean_mae,best_n
# Placeholder CSV created to satisfy documentation links. Replace with real data as needed.
graph,dataset,missing_ratio,best_method,best_mean_mae,best_median_mae,best_count,n_methods,second_mean_mae,delta_to_second,second_method
kalofolias,bci_competition_proxy,0.2,trss,7.524522263484972e-06,7.444993142092889e-06,16,7,7.669336700582534e-06,1.4481443709756256e-07,tv
kalofolias,bci_competition_proxy,0.3,trss,7.928484160692792e-06,7.87349039187148e-06,16,7,8.04711006019299e-06,1.1862589950019842e-07,tv
kalofolias,bci_competition_proxy,0.4,trss,7.899759269194597e-06,7.819032092627068e-06,3,7,8.02390965702694e-06,1.2415038783234215e-07,tv
kalofolias,mne_sample,0.1,trss,2.832766975234145e-06,2.827736886839293e-06,80,12,2.832766975234148e-06,2.964615315390051e-21,gsp
kalofolias,mne_sample,0.2,trss,4.74420541480049e-06,4.233513742091567e-06,80,12,4.744205414800878e-06,3.8794108984246956e-19,gsp
kalofolias,mne_sample,0.3,trss,6.384194046248557e-06,5.853492670341192e-06,80,12,6.384194046269077e-06,2.052022018018268e-17,gsp
kalofolias,mne_sample,0.4,trss,8.714719480146615e-06,9.033576320024869e-06,80,12,8.71471948066508e-06,5.184654788825682e-16,gsp
kalofolias,mne_sample_proxy,0.1,heat_diffusion_temporal,1.3490296083348374e-07,1.3490296083348374e-07,1,20,1.5846363404799784e-07,2.3560673214514098e-08,directed_tv
kalofolias,mne_sample_proxy,0.2,heat_diffusion_temporal,1.6253508897859757e-07,1.6253508897859757e-07,1,20,1.7662207274275104e-07,1.4086983764153477e-08,wavelet_temporal
kalofolias,mne_sample_proxy,0.3,heat_diffusion_temporal,1.8506380365366085e-07,1.8506380365366085e-07,1,20,1.8692446876421654e-07,1.8606651105556882e-09,wavelet_temporal
kalofolias,mne_sample_proxy,0.4,trss,1.984397519528412e-06,1.9714200600930074e-06,3,7,1.9946306430306603e-06,1.0233123502248086e-08,tv
kalofolias,physionet_eegmmidb,0.1,rbfi_tps,1.8720967567637407e-06,1.886420341129943e-06,24,21,1.9725948435349496e-06,1.0049808677120886e-07,idw
kalofolias,physionet_eegmmidb,0.2,linear,3.33545704580849e-06,3.3157670454545457e-06,25,21,4.529024084106736e-06,1.1935670382982462e-06,gsp
kalofolias,physionet_eegmmidb,0.3,idw,8.746354015622063e-06,8.733274028882618e-06,26,21,8.795103445016241e-06,4.8749429394178326e-08,rbfi_tps
kalofolias,physionet_eegmmidb,0.4,gsp,1.1918365045793027e-05,1.244768390193453e-05,30,22,1.2529205264407784e-05,6.108402186147572e-07,gsmooth
kalofolias,synthetic,0.1,spherical_spline,0.0511001113806807,0.0482787587066522,20,12,0.0511001900227225,7.864204180224599e-08,tv
kalofolias,synthetic,0.2,spherical_spline,0.1035852892347199,0.1050430986566703,20,12,0.1035853632061154,7.397139550890941e-08,tv
kalofolias,synthetic,0.3,spherical_spline,0.1823133437159367,0.1816939824997896,20,12,0.1823134190828473,7.53669106012822e-08,tv
kalofolias,synthetic,0.4,spherical_spline,0.2331404775257789,0.2307824215776189,20,12,0.2331405632254037,8.569962478555126e-08,tv
kalofolias,synthetic_16ch,0.1,trss,0.4765685260087021,0.4806055646835646,9,7,0.4912693744250906,0.014700848416388523,graph_time_tikhonov
kalofolias,synthetic_16ch,0.2,tv,0.5099297878094858,0.5043376897907945,16,7,0.5110247459669012,0.0010949581574153378,trss
kalofolias,synthetic_16ch,0.3,trss,0.535312370918887,0.5264932814687462,16,7,0.5368909545407387,0.0015785836218517035,tv
kalofolias,synthetic_16ch,0.4,graph_time_tikhonov,0.528733542678436,0.5355024397900771,3,7,0.5395463537469988,0.0108128110685628,tv
kalofolias,synthetic_32ch,0.1,trss,0.402224772307107,0.4019994601434823,3,7,0.4035232645642769,0.001298492257169881,tv
kalofolias,synthetic_32ch,0.2,trss,0.4267914565481434,0.428216049059684,3,7,0.432433108577913,0.005641652029769628,tv
kalofolias,synthetic_32ch,0.3,trss,0.4423228237426069,0.442439928483151,3,7,0.4451533999047212,0.0028305761621142955,graph_time_tikhonov
kalofolias,synthetic_32ch,0.4,trss,0.4622019596432922,0.4590961670936308,3,7,0.467545187738824,0.005343228095531782,tv
kalofolias,synthetic_alpha,0.1,mean,0.0589478976695531,0.0589478976695532,18,21,0.0589863905543036,3.849288475050311e-05,tv
kalofolias,synthetic_alpha,0.2,mean,0.1208467294395675,0.1208467294395676,18,21,0.1208611431336948,1.441369412730209e-05,tv
kalofolias,synthetic_alpha,0.3,directed_tv,0.2004891087783412,0.2004891087783412,18,21,0.2125037819008306,0.012014673122489411,mean
kalofolias,synthetic_alpha,0.4,mean,0.2610509096263227,0.2610509096263227,17,21,0.2611247552964125,7.384567008977827e-05,tv
kalofolias,synthetic_beta,0.1,tv,0.0658618893689084,0.0658618893689084,18,21,0.0658619827367564,9.336784800861864e-08,mean
kalofolias,synthetic_beta,0.2,mean,0.1343883515386373,0.1343883515386373,18,21,0.1343889980578412,6.465192039228906e-07,tv
kalofolias,synthetic_beta,0.3,directed_tv,0.2024079368112397,0.2024079368112397,18,21,0.2038587458276235,0.0014508090163838083,mean
kalofolias,synthetic_beta,0.4,directed_tv,0.2719970591297853,0.2719970591297853,18,21,0.2811073987258139,0.009110339596028638,idw
kalofolias,synthetic_broad,0.1,directed_tv,0.0814527029580689,0.0814527029580689,19,21,0.0831261286989168,0.001673425740847903,idw
kalofolias,synthetic_broad,0.2,directed_tv,0.1204880068466204,0.1204880068466204,19,21,0.1240230024591643,0.0035349956125439036,gsmooth
kalofolias,synthetic_broad,0.3,directed_tv,0.1972364461741241,0.1972364461741241,20,21,0.2019202316948071,0.004683785520682993,mean
kalofolias,synthetic_broad,0.4,directed_tv,0.2363516508170818,0.2363516508170818,20,21,0.2384982122315031,0.002146561414421322,spherical_spline
knn,mne_sample,0.1,gsmooth,2.833695531836888e-06,2.898509294034594e-06,30,12,2.8351637402614924e-06,1.4682084246042596e-09,tv
knn,mne_sample,0.2,tv,4.756283691224519e-06,4.250984352398234e-06,30,12,4.890784955899187e-06,1.3450126467466817e-07,gsmooth
knn,mne_sample,0.3,tv,6.393518106516611e-06,5.864329004300915e-06,30,12,6.500980227634696e-06,1.0746212111808524e-07,gsmooth
knn,mne_sample,0.4,tv,8.71980443163178e-06,9.041431623660287e-06,30,12,8.814801882532737e-06,9.49974509009574e-08,gsmooth
knn,physionet_eegmmidb,0.4,trss,5.055852148187937e-06,5.046110339736827e-06,8,22,5.691620032471166e-06,6.357678842832291e-07,rbfi_tps
knn,synthetic,0.1,trss,0.0481907164255639,0.0504894761309765,72,12,0.0505834961749304,0.002392779749366504,idw
knn,synthetic,0.2,trss,0.100134461685154,0.1040604766161611,72,12,0.1019650533172319,0.0018305916320778964,idw
knn,synthetic,0.3,idw,0.173150056359198,0.1899725637709662,54,12,0.1777970852343147,0.004647028875116699,trss
knn,synthetic,0.4,trss,0.2215356831172105,0.2395541056000055,72,12,0.2219121704713224,0.0003764873541118874,idw
knn__k3,bci_competition_iv_2a_proxy,0.1,directed_tv,3.63583023747273e-07,3.5063318194629897e-07,13,20,3.636245128425188e-07,4.1489095245831284e-11,trss
knn__k3,bci_competition_iv_2a_proxy,0.2,trss,4.248799790191946e-07,4.169910358179858e-07,13,20,4.26372556764383e-07,1.4925777451883788e-09,temporal_laplacian
knn__k3,bci_competition_iv_2a_proxy,0.3,trss,4.764813902153285e-07,4.698846188504081e-07,14,20,4.85219104285471e-07,8.737714070142563e-09,temporal_laplacian
knn__k3,bci_competition_iv_2a_proxy,0.4,tv,5.239939002440042e-07,5.053442570428976e-07,14,20,5.371672482702643e-07,1.317334802626006e-08,directed_tv
knn__k3,bci_competition_proxy,0.1,trss,6.706634002355933e-06,6.771858715847265e-06,26,7,6.798217288706075e-06,9.158328635014207e-08,tv
knn__k3,bci_competition_proxy,0.2,trss,7.095656169133554e-06,7.079999354785992e-06,37,7,7.180911397281792e-06,8.525522814823803e-08,tv
