dataset,method,family,graph,missing_ratio,mae,rmse,snr,block,source_file,dtw
synthetic_alpha,graph_time_tikhonov,tv_time,gaussian__sigma1,0.1,0.4362014933952048,0.5000723918103553,3.227123110213755,synthetic_alpha__0.1_102,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,trss,tv_time,gaussian__sigma1,0.1,0.0637063185399145,0.2230349221364658,0.3894516310653068,synthetic_alpha__0.1_103,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,tv,tv_time,gaussian__sigma1,0.1,0.0590983691812511,0.2091166017675906,0.9266118692057406,synthetic_alpha__0.1_104,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,temporal_laplacian,tv_time,gaussian__sigma1,0.1,0.4799769762650162,0.5407337102620786,2.459540269707499,synthetic_alpha__0.1_105,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,heat_diffusion_temporal,tv_time,gaussian__sigma1,0.1,0.0648939135250807,0.2253501406990551,0.2672648566137683,synthetic_alpha__0.1_106,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,wavelet_temporal,tv_time,gaussian__sigma1,0.1,0.085485771450544,0.2400428096256142,18.65841042519417,synthetic_alpha__0.1_108,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,directed_tv,tv_time,gaussian__sigma1,0.1,0.0742748359837804,0.2562784015384388,-0.8807763308224658,synthetic_alpha__0.1_109,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,linear,instant,nnk__k4,0.1,0.0634270409346891,0.244209901265437,-0.0777226940065491,synthetic_alpha__0.1_110,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,nearest,instant,nnk__k4,0.1,0.0642770299551405,0.2523142036825606,-0.2761905701468088,synthetic_alpha__0.1_111,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,mean,instant,nnk__k4,0.1,0.0589478976695532,0.2085273501920232,0.9476396031020364,synthetic_alpha__0.1_112,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,idw,instant,nnk__k4,0.1,0.0625841043918718,0.2198587343426586,0.5658803059686505,synthetic_alpha__0.1_113,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spherical_spline,instant,nnk__k4,0.1,0.1109596651986618,0.4071882526204173,-4.5856010357981205,synthetic_alpha__0.1_114,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_tps,instant,nnk__k4,0.1,0.088427217921455,0.3314997645390123,-2.570316269427729,synthetic_alpha__0.1_115,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,rbfi_mq,instant,nnk__k4,0.1,0.0895496117788872,0.3334451921211877,-2.776695396371658,synthetic_alpha__0.1_116,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,spline_surface,instant,nnk__k4,0.1,0.363683314967057,1.7420712241529503,-12.999275934669356,synthetic_alpha__0.1_117,it56_3syn_mr10_only_raw.csv,
synthetic_alpha,gsp,instant,nnk__k4,0.1,0.0806613954899022,0.2889288339162692,-1.7112303399613946,synthetic_alpha__0.1_118,it56_3syn_mr10_only_raw.csv,
