dataset,graph,missing_ratio,best_method,best_mean,best_n,second_method,second_mean,second_n
physionet_eegmmidb,knn__k3,0.2,linear,3.364782356922454e-06,87,idw,4.923780034490877e-06,87
physionet_eegmmidb,knn__k3,0.3,idw,8.708258474162704e-06,87,rbfi_tps,9.010196273749212e-06,77
physionet_eegmmidb,knn__k3,0.4,tv,1.374028609156892e-05,95,idw,1.3796887584535986e-05,89
physionet_eegmmidb,knn__k5,0.1,trss,1.848430001990473e-06,6,gsp,1.8512784090909092e-06,5
physionet_eegmmidb,knn__k5,0.2,linear,3.3157670454545457e-06,6,gsmooth,4.3782376893939394e-06,6
physionet_eegmmidb,knn__k5,0.3,nearest,8.520170454545455e-06,6,idw,8.733274028882618e-06,6
physionet_eegmmidb,knn__k5,0.4,tv,1.2739077813733189e-05,7,mean,1.2742657342657348e-05,7
physionet_eegmmidb,knng,0.4,trss,5.090254783602433e-06,4,rbfi_tps,5.691620032471166e-06,4
physionet_eegmmidb,knng__k4_sigma1,0.1,gsp,1.6926996725292372e-06,5,trss,1.7007466196165537e-06,6
physionet_eegmmidb,knng__k4_sigma1,0.2,linear,3.3157670454545457e-06,6,gsmooth,4.435893349947633e-06,6
physionet_eegmmidb,knng__k4_sigma1,0.3,nearest,8.520170454545455e-06,6,idw,8.733274028882618e-06,6
physionet_eegmmidb,knng__k4_sigma1,0.4,tv,1.2730055936218328e-05,7,mean,1.2742657342657348e-05,7
physionet_eegmmidb,nnk,0.4,trss,4.991204087491076e-06,4,gsp,5.653346740236701e-06,4
physionet_eegmmidb,nnk__k4,0.1,trss,1.741268359573271e-06,7,gsp,1.7475950842226455e-06,6
physionet_eegmmidb,nnk__k4,0.2,linear,3.3157670454545457e-06,7,tv,4.438391049136511e-06,7
physionet_eegmmidb,nnk__k4,0.3,nearest,8.520170454545455e-06,7,gsmooth,8.661231205438572e-06,7
physionet_eegmmidb,nnk__k4,0.4,tv,1.2732764719084747e-05,9,mean,1.2742657342657345e-05,9
physionet_eegmmidb,vknng,0.4,trss,5.166693496585012e-06,4,rbfi_tps,5.691620032471166e-06,4
