graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_broad,0.2,heat_diffusion_temporal,0.1195257423433964,15,4.309462532715294e-17,0.1195257423433964,0.1195257423433964,trss,0.1202580140655969,15,5.745950043620392e-17,0.0007322717222004,8.265685662204697e-08,1.5870116471433015e-05,True,1.0
aew__k4_sigma_corr0_5_sigma_dist1,synthetic_broad,0.3,heat_diffusion_temporal,0.1970722472652671,16,0.0,0.1970722472652671,0.1970722472652671,trss,0.1998397930882504,16,0.0,0.0027675458229833,2.9225329082331762e-08,6.224995094536665e-06,True,1.0
gaussian__sigma1,synthetic_broad,0.4,heat_diffusion_temporal,0.2351888525821222,20,0.0,0.2351888525821222,0.2351888525821222,trss,0.2367994287530917,20,5.695323946259567e-17,0.0016105761709695,4.682682358742056e-10,1.325199107524002e-07,True,1.0
knn__k3,synthetic_broad,0.2,heat_diffusion_temporal,0.1088129694094758,21,0.0346327705343959,0.0923560257854172,0.1197785135886225,directed_tv,0.110304432180147,21,0.0349245928170952,0.0014914627706712,4.5880955023240564e-07,8.258571904183302e-05,True,0.8231292517006803
knn__k3,synthetic_broad,0.3,heat_diffusion_temporal,0.1816922094863734,22,0.0569261944401943,0.1552968304225665,0.1992799428272828,spherical_spline,0.1834760030344251,21,0.0582529212096478,0.0017837935480516,2.871708348301187e-07,5.255226277391172e-05,True,0.8268398268398268
knn__k3,synthetic_broad,0.4,heat_diffusion_temporal,0.2153189884910597,22,0.0675902619617673,0.1839803372853259,0.236201462404332,spherical_spline,0.2166971408982546,21,0.0688561922222711,0.0013781524071949,2.871708348301187e-07,5.226509193908161e-05,True,0.8268398268398268
knn__k5,synthetic_broad,0.4,heat_diffusion_temporal,0.2351614839899412,19,0.0,0.2351614839899412,0.2351614839899412,tv,0.2369315571338331,19,5.703228632848239e-17,0.0017700731438919,1.3120632979510227e-09,3.503209005529231e-07,True,1.0
knng__k4_sigma1,synthetic_broad,0.2,heat_diffusion_temporal,0.119889627939235,17,0.0,0.119889627939235,0.119889627939235,directed_tv,0.1213906011416762,17,0.0,0.0015009732024412,1.036256682624278e-08,2.341940102730868e-06,True,1.0
knng__k4_sigma1,synthetic_broad,0.3,heat_diffusion_temporal,0.1988953163113326,18,0.0,0.1988953163113326,0.1988953163113326,directed_tv,0.2012612458769456,18,0.0,0.002365929565613,3.683348423440707e-09,9.06103712166414e-07,True,1.0
knng__k4_sigma1,synthetic_broad,0.4,heat_diffusion_temporal,0.2359594281987354,18,0.0,0.2359594281987354,0.2359594281987354,tv,0.2360595235990406,18,0.0,0.0001000954003052,3.683348423440707e-09,9.024203637429733e-07,True,1.0
