id,count_paths,has_run_metadata,has_significance,figure_pdfs,figure_pngs
it34_physionet_kalofolias_gaussian_nogo_report,1,0,0,0,0
it34_physionet_kalofolias_gaussian_qa_report,1,0,0,0,0
it34_physionet_kalofolias_gaussian_raw,1,0,0,0,0
it34_physionet_kalofolias_gaussian_run_metadata,1,1,0,0,0
it34_physionet_kalofolias_gaussian_significance,1,0,1,0,0
it34_physionet_kalofolias_gaussian_stats,1,0,0,0,0
it34_physionet_kalofolias_gaussian_tables,2,0,1,0,0
it35_all4_kalofolias_figures,6,0,0,6,0
it35_all4_kalofolias_integration_log,1,0,0,0,0
it35_all4_kalofolias_qa_report,1,0,0,0,0
it35_all4_kalofolias_raw,1,0,0,0,0
it35_all4_kalofolias_run_metadata,1,1,0,0,0
it35_all4_kalofolias_significance,1,0,1,0,0
it35_all4_kalofolias_stats,1,0,0,0,0
it35_all4_kalofolias_tables,2,0,1,0,0
it36_3syn_beta_low_missing_figures,6,0,0,6,0
it36_3syn_beta_low_missing_integration_log,1,0,0,0,0
it36_3syn_beta_low_missing_qa_report,1,0,0,0,0
it36_3syn_beta_low_missing_raw,1,0,0,0,0
it36_3syn_beta_low_missing_run_metadata,1,1,0,0,0
it36_3syn_beta_low_missing_significance,1,0,1,0,0
it36_3syn_beta_low_missing_stats,1,0,0,0,0
it36_3syn_beta_low_missing_tables,2,0,1,0,0
it37_3syn_alpha_low_missing_figures,6,0,0,6,0
it37_3syn_alpha_low_missing_integration_log,1,0,0,0,0
it37_3syn_alpha_low_missing_qa_report,1,0,0,0,0
it37_3syn_alpha_low_missing_raw,1,0,0,0,0
it37_3syn_alpha_low_missing_run_metadata,1,1,0,0,0
it37_3syn_alpha_low_missing_significance,1,0,1,0,0
it37_3syn_alpha_low_missing_stats,1,0,0,0,0
it37_3syn_alpha_low_missing_tables,2,0,1,0,0
it38_broad_gaussian_kalofolias_nnk_figures,6,0,0,6,0
it38_broad_gaussian_kalofolias_nnk_integration_log,1,0,0,0,0
it38_broad_gaussian_kalofolias_nnk_qa_report,1,0,0,0,0
it38_broad_gaussian_kalofolias_nnk_raw,1,0,0,0,0
it38_broad_gaussian_kalofolias_nnk_run_metadata,1,1,0,0,0
it38_broad_gaussian_kalofolias_nnk_significance,1,0,1,0,0
it38_broad_gaussian_kalofolias_nnk_stats,1,0,0,0,0
it38_broad_gaussian_kalofolias_nnk_tables,2,0,1,0,0
it39_physionet_gaussian_nnk_knn_figures,6,0,0,6,0
it39_physionet_gaussian_nnk_knn_integration_log,1,0,0,0,0
it39_physionet_gaussian_nnk_knn_qa_report,1,0,0,0,0
it39_physionet_gaussian_nnk_knn_raw,1,0,0,0,0
it39_physionet_gaussian_nnk_knn_run_metadata,1,1,0,0,0
it39_physionet_gaussian_nnk_knn_significance,1,0,1,0,0
it39_physionet_gaussian_nnk_knn_stats,1,0,0,0,0
it39_physionet_gaussian_nnk_knn_tables,2,0,1,0,0
it40_3syn_all_mr_analysis_figures,6,0,0,6,0
it40_3syn_all_mr_analysis_integration_log,1,0,0,0,0
it40_3syn_all_mr_analysis_qa_report,1,0,0,0,0
it40_3syn_all_mr_analysis_raw,1,0,0,0,0
it40_3syn_all_mr_analysis_run_metadata,1,1,0,0,0
it40_3syn_all_mr_analysis_significance,1,0,1,0,0
it40_3syn_all_mr_analysis_stats,1,0,0,0,0
it40_3syn_all_mr_analysis_tables,2,0,1,0,0
it41_physionet_multisubject_run4_integration_log,1,0,0,0,0
it41_physionet_multisubject_run4_qa_report,1,0,0,0,0
it41_physionet_multisubject_run4_raw,1,0,0,0,0
it41_physionet_multisubject_run4_run_metadata,1,1,0,0,0
it41_physionet_multisubject_run4_significance,1,0,1,0,0
it41_physionet_multisubject_run4_stats,1,0,0,0,0
it41_physionet_multisubject_run4_tables,2,0,0,0,0
it42_physionet_run8_allsubj_integration_log,1,0,0,0,0
it42_physionet_run8_allsubj_qa_report,1,0,0,0,0
it42_physionet_run8_allsubj_raw,1,0,0,0,0
it42_physionet_run8_allsubj_run_metadata,1,1,0,0,0
it42_physionet_run8_allsubj_significance,1,0,1,0,0
it42_physionet_run8_allsubj_stats,1,0,0,0,0
it42_physionet_run8_allsubj_tables,2,0,0,0,0
it43_physionet_run12_allsubj_integration_log,1,0,0,0,0
it43_physionet_run12_allsubj_qa_report,1,0,0,0,0
it43_physionet_run12_allsubj_raw,1,0,0,0,0
it43_physionet_run12_allsubj_run_metadata,1,1,0,0,0
it43_physionet_run12_allsubj_significance,1,0,1,0,0
