dataset,graph,method,missing_ratio,mae_mean,mae_ci_lo,mae_ci_hi,mae_n,rmse_mean,rmse_ci_lo,rmse_ci_hi,rmse_n,dtw_mean,dtw_ci_lo,dtw_ci_hi,dtw_n,snr_mean,snr_ci_lo,snr_ci_hi,snr_n
bci_iv2a_real_s2,knn__k3,tv,0.2,7.094915627476626e-07,7.004115639923056e-07,7.185715615030196e-07,2,2.9138340973200805e-06,2.8889955810967284e-06,2.938672613543433e-06,2,1.88178871510734e-05,1.8371921978648904e-05,1.9263852323497897e-05,2,22.306276995102486,22.26155444745357,22.350999542751406,2
bci_iv2a_real_s2,knn__k3,tv,0.4,1.590112956155853e-06,1.5757318119035551e-06,1.6044941004081507e-06,2,4.141668967387143e-06,4.040716391070295e-06,4.24262154370399e-06,2,2.727374766793203e-05,2.6316584627931807e-05,2.8230910707932253e-05,2,18.50651299251263,18.38395414760068,18.62907183742458,2
iris_graph_signal,gaussian__sigma1.0,mean,0.2,0.13405540257904525,0.1288112207180907,0.1392995844399998,2,0.3954104956366383,0.3735025878082932,0.4173184034649834,2,2.312727416233912,2.1235230467207438,2.50193178574708,2,10.084229788321558,9.85809580552792,10.310363771115195,2
iris_graph_signal,gaussian__sigma1.0,mean,0.4,0.26808987308644694,0.2597357350613793,0.2764440111115145,2,0.572282902293914,0.5368844930527008,0.6076813115351271,2,3.3383225055790815,3.119873761388302,3.5567712497698607,2,6.699700370282311,6.532264341129368,6.867136399435253,2
iris_graph_signal,gaussian__sigma1.0,tikhonov,0.2,0.18795886353946334,0.1839941492162011,0.1919235778627256,2,0.3999091769126396,0.3793260005477726,0.4204923532775066,2,2.318645430072172,2.170628208613308,2.466662651531036,2,10.076343282827624,9.784307272629343,10.368379293025905,2
iris_graph_signal,gaussian__sigma1.0,tikhonov,0.4,0.3075462069989145,0.3055374744604454,0.3095549395373836,2,0.5775700427406846,0.5489612896814312,0.6061787957999379,2,3.3444656553045906,3.1618589445143157,3.527072366094865,2,6.65567796717699,6.382529186444311,6.928826747909668,2
iris_graph_signal,gaussian__sigma1.0,trss,0.2,0.10335195355632709,0.0986422451923117,0.1080616619203425,2,0.31445103263811275,0.3000832365478955,0.32881882872833,2,1.830071665824195,1.6399654228572338,2.020177908791156,2,11.872943669334994,11.46479881144549,12.2810885272245,2
iris_graph_signal,gaussian__sigma1.0,trss,0.4,0.22840231584561985,0.2233049903913183,0.2334996412999214,2,0.4912693063185871,0.4628825011180876,0.5196561115190866,2,2.89774800485138,2.759202229802788,3.0362937798999723,2,7.858340508082383,7.629372717932742,8.087308298232024,2
iris_graph_signal,gaussian__sigma1.0,tv,0.2,0.1256392298832342,0.1184817066231418,0.1327967531433266,2,0.38069572271088103,0.3543254068501378,0.4070660385716243,2,2.153974762107831,1.924794607876356,2.383154916339306,2,10.824729743865854,10.412923802780703,11.236535684951004,2
iris_graph_signal,gaussian__sigma1.0,tv,0.4,0.2668380612503577,0.2608869517971736,0.2727891707035418,2,0.5697654968104443,0.5388163497692049,0.6007146438516837,2,3.3172101824889015,3.0642269158533297,3.5701934491244733,2,6.753887803236072,6.484410101902634,7.02336550456951,2
iris_graph_signal,knn__k3,mean,0.2,0.13405540257904525,0.1288112207180907,0.1392995844399998,2,0.3954104956366383,0.3735025878082932,0.4173184034649834,2,2.312727416233912,2.1235230467207438,2.50193178574708,2,10.084229788321558,9.85809580552792,10.310363771115195,2
iris_graph_signal,knn__k3,mean,0.4,0.26808987308644694,0.2597357350613793,0.2764440111115145,2,0.572282902293914,0.5368844930527008,0.6076813115351271,2,3.3383225055790815,3.119873761388302,3.5567712497698607,2,6.699700370282311,6.532264341129368,6.867136399435253,2
iris_graph_signal,knn__k3,tikhonov,0.2,0.26924663646646574,0.2676315265161847,0.2708617464167468,2,0.45579095826361415,0.4396309970717829,0.4719509194554455,2,2.8007505133213852,2.7013373814695734,2.900163645173197,2,8.46857441644552,8.341027646423418,8.596121186467624,2
iris_graph_signal,knn__k3,tikhonov,0.4,0.3738422175454566,0.3703256063908349,0.3773588287000783,2,0.6197824694146628,0.5960163507457491,0.6435485880835763,2,3.764511948931192,3.584459397639684,3.9445645002227,2,5.602733488147312,5.303376939993243,5.902090036301381,2
iris_graph_signal,knn__k3,trss,0.2,0.1161131634018217,0.1122276150094353,0.1199987117942081,2,0.33869717698363605,0.3273723287159382,0.3500220252513339,2,2.0839031677855004,1.894502717719723,2.2733036178512784,2,10.710979207113198,10.457668875649873,10.964289538576525,2
iris_graph_signal,knn__k3,trss,0.4,0.25359656692305027,0.2493310053363795,0.257862128509721,2,0.5337086820263356,0.5066895995020009,0.5607277645506703,2,3.3481313979011365,3.1755209047108304,3.520741891091442,2,6.628313339210807,6.405512675820122,6.851114002601491,2
iris_graph_signal,knn__k3,tv,0.2,0.13245727735870866,0.1262344255151506,0.1386801292022667,2,0.39298981506805886,0.3688264934043469,0.4171531367317708,2,2.2877608801650586,2.076196043341485,2.499325716988632,2,10.217583686766638,9.900590320919497,10.53457705261378,2
iris_graph_signal,knn__k3,tv,0.4,0.2694237674653165,0.2613341512683595,0.2775133836622735,2,0.574359076773789,0.5396345873793911,0.6090835661681868,2,3.363878938573955,3.14479110952833,3.58296676761958,2,6.6383899722852675,6.461000615290379,6.815779329280156,2
iv100hz_mat,gaussian__sigma1.0,mean,0.2,41.691334635416666,41.65002604166667,41.73264322916666,2,132.8773706748779,131.81803413188894,133.93670721786685,2,741.2089155051563,725.591887661063,756.8259433492494,2,10.783725361441913,10.765144042297385,10.80230668058644,2
iv100hz_mat,gaussian__sigma1.0,mean,0.4,94.15993055555555,93.44041666666666,94.87944444444445,2,203.8125457166697,200.66680452307008,206.9582869102693,2,1051.9478574289892,1040.1186465844737,1063.7770682735047,2,7.668785430696239,7.615670195466591,7.721900665925887,2
iv100hz_mat,gaussian__sigma1.0,tikhonov,0.2,144.92944748164228,144.874225813336,144.98466914994853,2,199.5616595201086,199.09897075049477,200.02434828972244,2,989.4406962168093,983.8332456019216,995.0481468316972,2,11.926681491326537,11.907874777195516,11.945488205457556,2
iv100hz_mat,gaussian__sigma1.0,tikhonov,0.4,170.8426921006067,170.7832461984263,170.90213800278713,2,240.32075708083119,238.3987481439331,242.24276601772925,2,1114.1002074126218,1098.876809652984,1129.3236051722592,2,9.592015595100005,9.557842162831298,9.626189027368712,2
iv100hz_mat,gaussian__sigma1.0,trss,0.2,29.830847753252314,29.670418780554108,29.991276725950524,2,94.17725764521569,93.80234302563478,94.5521722647966,2,541.8966730758997,537.2211637424355,546.5721824093639,2,13.502729198155524,13.491076064859415,13.514382331451635,2
iv100hz_mat,gaussian__sigma1.0,trss,0.4,74.06976739298713,73.36009101524445,74.7794437707298,2,159.84676419222575,156.21657023752743,163.4769581469241,2,854.7583869121534,848.6919106342166,860.8248631900901,2,9.589717858277176,9.558481724786825,9.620953991767529,2
iv100hz_mat,gaussian__sigma1.0,tv,0.2,25.45905405447595,25.35361519351921,25.56449291543269,2,102.44385175790698,100.35949203181345,104.52821148400052,2,497.5574088879747,490.4920579904138,504.62275978553566,2,14.761601630903545,14.703653596837889,14.8195496649692,2
iv100hz_mat,gaussian__sigma1.0,tv,0.4,61.66867708902964,60.82796381071826,62.50939036734103,2,165.94530319103063,160.99143479210548,170.8991715899558,2,736.1459821185301,719.6566130647353,752.635351172325,2,10.95518092576376,10.563881924581422,11.346479926946095,2
iv100hz_mat,knn__k3,mean,0.2,41.691334635416666,41.65002604166667,41.73264322916666,2,132.8773706748779,131.81803413188894,133.93670721786685,2,741.2089155051563,725.591887661063,756.8259433492494,2,10.783725361441913,10.765144042297385,10.80230668058644,2
