dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,snr_initial_db
iv100hz_mat,knn__k3,nearest,0.2,2,78.72269237727852,236.80734711567666,5.126636688699706,1372.1427933176817,{},,5,0.00782556400008616,5.0
iv100hz_mat,knn__k3,tikhonov,0.2,2,125.017419277325,206.23848441588092,7.497924043500842,1229.9379444251279,"{""alpha"": 0.1}",,5,0.012158851000094728,5.0
iv100hz_mat,knn__k3,tv,0.2,2,60.4085688206676,186.2850643234882,7.269279741416853,1069.9875662450786,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.2798429950003083,5.0
iv100hz_mat,knn__k3,trss,0.2,2,50.909974477837736,155.09785882728553,8.436791054435782,912.498407041977,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03396053699998447,5.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,2,213.17903752082026,278.85592354807505,5.876644490163798,1726.510204036628,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.016038307000144414,5.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,2,247.345181329565,319.96130676706423,4.080957271794802,2150.367711679086,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.268954911000037,5.0
iv100hz_mat,knn__k3,mean,0.2,3,51.58953771264831,161.83283771217836,8.758763784366629,999.556842093203,{},,5,0.0035996229999000207,5.0
iv100hz_mat,knn__k3,nearest,0.2,3,77.38384593742673,231.74332821560006,5.2858261318323425,1410.8032422726092,{},,5,0.007716346000051999,5.0
iv100hz_mat,knn__k3,tikhonov,0.2,3,124.29672882628869,202.10512010806588,7.695211001337477,1268.3725472435424,"{""alpha"": 0.1}",,5,0.012292079999951966,5.0
iv100hz_mat,knn__k3,tv,0.2,3,55.24859443546166,170.91323489384695,7.8195445355457025,1055.6532312207482,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.2824558679999427,5.0
iv100hz_mat,knn__k3,trss,0.2,3,51.103744910093745,155.1932112217001,8.455166731963397,991.3992276686832,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03480830099988452,5.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,3,212.88973209152604,277.84772427030657,6.058483489757904,1777.437563706582,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.01597059999994599,5.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,3,248.0725034877286,320.57922815575563,4.225153397958881,2198.7528436858497,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.233691139999792,5.0
iv100hz_mat,knn__k3,mean,0.2,4,53.62244527780752,169.80494418099556,8.559516942180027,921.1934628478663,{},,5,0.003568197999811673,5.0
iv100hz_mat,knn__k3,nearest,0.2,4,77.13402228823189,233.78484749976292,5.254457543340099,1452.8033604499196,{},,5,0.007682778999878792,5.0
iv100hz_mat,knn__k3,tikhonov,0.2,4,123.49045863378034,205.6652802661821,7.614498504331944,1263.1358231266065,"{""alpha"": 0.1}",,5,0.012872554999830754,5.0
iv100hz_mat,knn__k3,tv,0.2,4,57.71725709957059,179.28567281756295,7.69028395195189,1091.4234566546938,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.279173923000144,5.0
iv100hz_mat,knn__k3,trss,0.2,4,50.32971895744112,156.3688965791749,8.52950933979992,957.8068621830404,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.035160923000148614,5.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,4,210.84432538464324,277.42671284026636,6.0017069885837415,1754.0160680251954,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.01586971300002915,5.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,4,246.24652254066697,321.032413852406,4.1362998974026475,2187.8578231799806,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.234544249999999,5.0
iv100hz_mat,knn__k3,mean,0.2,5,55.40788599604404,173.7895428668782,8.61801081785131,991.6751065177759,{},,5,0.003652435000276455,5.0
iv100hz_mat,knn__k3,nearest,0.2,5,79.86869845537346,238.07278909360517,5.4980515039856295,1407.4552817988344,{},,5,0.007721480999862251,5.0
iv100hz_mat,knn__k3,tikhonov,0.2,5,127.13225009598415,210.7158893088019,7.490603497475219,1279.2941353746044,"{""alpha"": 0.1}",,5,0.012493371999880765,5.0
iv100hz_mat,knn__k3,tv,0.2,5,61.63058859179089,189.71210614736518,7.347402665167203,1137.0228982448875,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.2784068070000103,5.0
iv100hz_mat,knn__k3,trss,0.2,5,52.75936687459794,160.67326263570968,8.407665612555418,988.4523293522642,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.0338799989999643,5.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,5,214.73228157316763,282.34463686049764,5.9004950911934,1807.3715429872589,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.01563748399985343,5.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,5,247.5634664610564,321.3758551777684,4.2223733931198835,2194.2657122583437,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.242023745000097,5.0
iv100hz_mat,knn__k3,mean,0.2,0,71.65592034372835,222.972978142176,8.013733210499389,1429.367434093437,{},,5,0.0035908800000470364,0.0
iv100hz_mat,knn__k3,nearest,0.2,0,97.9555897931132,300.438277713308,5.233729057426341,1830.1001133758402,{},,5,0.007673482999962289,0.0
iv100hz_mat,knn__k3,tikhonov,0.2,0,166.76272449818887,273.36639859345865,6.561349426704543,1827.9835888613973,"{""alpha"": 0.1}",,5,0.01224122499979785,0.0
iv100hz_mat,knn__k3,tv,0.2,0,82.23404377571309,251.66007965385197,6.762387624212782,1578.684637186896,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.28681304800011276,0.0
