"graph","method","combo","mean_mae","std_mae","count","datasets_count","rank_metric"
"gaussian__sigma1","graph_time_tikhonov","gaussian__sigma1|graph_time_tikhonov","0,358368961518608","0,214897797218192","16","4","0,465817860127704"
"nnk__k4","sobolev","nnk__k4|sobolev","0,361126136736121","0,216841608140448","16","4","0,469546940806345"
"nnk__k4","bgsrp","nnk__k4|bgsrp","0,36528465450747","0,220967111416091","16","4","0,475768210215516"
"knn__k3","bgsrp","knn__k3|bgsrp","0,365979409297341","0,220028525467121","16","4","0,475993672030902"
"knng__k4_sigma1","bgsrp","knng__k4_sigma1|bgsrp","0,3663681592201","0,220788592572522","16","4","0,476762455506361"
"vknng__alpha1_k4_k_max8_k_min2","bgsrp","vknng__alpha1_k4_k_max8_k_min2|bgsrp","0,367490825136956","0,221180144022536","16","4","0,478080897148224"
"knn__k5","bgsrp","knn__k5|bgsrp","0,371175149213618","0,223157598784719","16","4","0,482753948605978"
"aew__k4_sigma_corr0_5_sigma_dist1","bgsrp","aew__k4_sigma_corr0_5_sigma_dist1|bgsrp","0,374582589649016","0,227731769208478","16","4","0,488448474253255"
"gaussian__sigma1","temporal_laplacian","gaussian__sigma1|temporal_laplacian","0,37826796766813","0,226409696661912","16","4","0,491472815999086"
"gaussian__sigma1","bgsrp","gaussian__sigma1|bgsrp","0,378228835349244","0,226747386615639","16","4","0,491602528657064"
"gaussian__sigma1","puy","gaussian__sigma1|puy","0,402972242680169","0,240865417541743","16","4","0,523404951451041"
"knn__k3","sobolev","knn__k3|sobolev","0,414779300582116","0,247604785535327","16","4","0,53858169334978"
"knng__k4_sigma1","sobolev","knng__k4_sigma1|sobolev","0,417567511629911","0,249169723266724","16","4","0,542152373263273"
"vknng__alpha1_k4_k_max8_k_min2","sobolev","vknng__alpha1_k4_k_max8_k_min2|sobolev","0,429439741815742","0,256228333727175","16","4","0,55755390867933"
"knn__k5","sobolev","knn__k5|sobolev","0,439837617153131","0,262354510375746","16","4","0,571014872341004"
"kalofolias","tikhonov","kalofolias|tikhonov","0,447966833496813","0,267630081277002","16","4","0,581781874135314"
"gaussian__sigma1","sobolev","gaussian__sigma1|sobolev","0,453517320915465","0,270538277118632","16","4","0,588786459474782"
"kalofolias","bgsrp","kalofolias|bgsrp","0,455823784651034","0,272021584990464","16","4","0,591834577146266"
"kalofolias","graph_time_tikhonov","kalofolias|graph_time_tikhonov","0,456433410436379","0,272385296353427","16","4","0,592626058613092"
"kalofolias","puy","kalofolias|puy","0,457732606075148","0,273118905604991","16","4","0,594292058877643"
"kalofolias","sobolev","kalofolias|sobolev","0,463411292006841","0,276423655757822","16","4","0,601623119885752"
"kalofolias","temporal_laplacian","kalofolias|temporal_laplacian","0,466938533991835","0,278452159826611","16","4","0,606164613905141"
"kalofolias","heat_diffusion_temporal","kalofolias|heat_diffusion_temporal","1,12259431196938","0,883752210025596","16","4","1,56447041698218"
