"graph","method","combo","mean_mae","median_mae","std_mae","min_mae","max_mae","cv_mae","count","datasets_count","real_datasets_count","real_obs_count","rank_metric_mean","rank_metric_median","rank_metric_stability","rank_metric_cv"
"knn__k3","wavelet_temporal","knn__k3|wavelet_temporal","0,149700185122741","0,153839572988435","0,102559538030788","2,74496611833275E-06","0,290088706774455","0,685099607236278","18","4","1","4","0,200979954138135","0,153839572988435","0,25225972315353","0,685099607236278"
"vknng__alpha1_k4_k_max8_k_min2","trss","vknng__alpha1_k4_k_max8_k_min2|trss","0,147216523836948","0,144699594915442","0,10762448289355","1,7007869244698E-06","0,297562736459024","0,731062519943422","18","4","1","4","0,201028765283723","0,144699594915442","0,254841006730498","0,731062519943422"
"aew__k4_sigma_corr0_5_sigma_dist1","gsp","aew__k4_sigma_corr0_5_sigma_dist1|gsp","0,147092579615673","0,14173093917692","0,108365622132197","1,6908097752324E-06","0,305950502386181","0,736717123428913","18","4","1","4","0,201275390681771","0,14173093917692","0,25545820174787","0,736717123428913"
"nnk__k4","directed_tv","nnk__k4|directed_tv","0,150416472160236","0,174932261178372","0,103170023074094","2,23897572980109E-06","0,281212011089825","0,685895777187145","18","4","1","4","0,202001483697283","0,174932261178372","0,25358649523433","0,685895777187145"
"vknng__alpha1_k4_k_max8_k_min2","wavelet_temporal","vknng__alpha1_k4_k_max8_k_min2|wavelet_temporal","0,150957675328029","0,155273449352818","0,103057001048278","2,79504877576762E-06","0,292765639004859","0,682688050305068","18","4","1","4","0,202486175852168","0,155273449352818","0,254014676376307","0,682688050305068"
"aew__k4_sigma_corr0_5_sigma_dist1","directed_tv","aew__k4_sigma_corr0_5_sigma_dist1|directed_tv","0,153199561304783","0,168832526387607","0,100369470764805","2,23444018543788E-06","0,285477518977583","0,655155079492196","18","4","1","4","0,203384296687186","0,168832526387607","0,253569032069588","0,655155079492196"
"vknng__alpha1_k4_k_max8_k_min2","gsp","vknng__alpha1_k4_k_max8_k_min2|gsp","0,148950169009566","0,14618833037078","0,109223192572476","1,69279119318182E-06","0,302895858211604","0,733286798522943","18","4","1","4","0,203561765295804","0,14618833037078","0,258173361582042","0,733286798522943"
"knn__k5","wavelet_temporal","knn__k5|wavelet_temporal","0,151990154992635","0,156453186375832","0,103371940685748","2,83888169249655E-06","0,293707207482208","0,680122608538413","18","4","1","4","0,203676125335509","0,156453186375832","0,255362095678383","0,680122608538413"
"knng__k4_sigma1","gsp","knng__k4_sigma1|gsp","0,149054995657154","0,146490811222589","0,109275228329438","1,69269967252924E-06","0,303023246466528","0,733120200686098","18","4","1","4","0,203692609821873","0,146490811222589","0,258330223986592","0,733120200686098"
"knn__k3","trss","knn__k3|trss","0,149612045370243","0,148613200596255","0,109545646549643","1,7057177368654E-06","0,298308721527662","0,732198041130658","18","4","1","4","0,204384868645065","0,148613200596255","0,259157691919886","0,732198041130658"
"gaussian__sigma1","wavelet_temporal","gaussian__sigma1|wavelet_temporal","0,153900619852703","0,159709652416009","0,104186013805661","2,86853251340061E-06","0,296334366305971","0,676969422900159","18","4","1","4","0,205993626755534","0,159709652416009","0,258086633658365","0,676969422900159"
"knn__k3","gsp","knn__k3|gsp","0,153268743716484","0,152160484338387","0,112647914514484","1,68267045454545E-06","0,305193128904593","0,734969908299504","18","4","1","4","0,209592700973726","0,152160484338387","0,265916658230968","0,734969908299504"
"aew__k4_sigma_corr0_5_sigma_dist1","tikhonov","aew__k4_sigma_corr0_5_sigma_dist1|tikhonov","0,155004206128137","0,153555010525299","0,110435787187414","4,27211383627937E-06","0,312897932536136","0,712469615799457","18","4","1","4","0,210222099721844","0,153555010525299","0,265439993315551","0,712469615799457"
"kalofolias","wavelet_temporal","kalofolias|wavelet_temporal","0,157601095606741","0,166444953093706","0,10545705326037","2,93174116462227E-06","0,300846931224175","0,669139087227637","18","4","1","4","0,210329622236926","0,166444953093706","0,263058148867111","0,669139087227637"
"nnk__k4","gsp","nnk__k4|gsp","0,154112469951676","0,150470685994018","0,11266244380313","1,74759508422265E-06","0,303004043653118","0,73104041378648","18","4","1","4","0,210443691853241","0,150470685994018","0,266774913754805","0,73104041378648"
"vknng__alpha1_k4_k_max8_k_min2","linear","vknng__alpha1_k4_k_max8_k_min2|linear","0,163364850427048","0,169744893997533","0,120618740316515","2,12840909090909E-06","0,329876799854523","0,738339612231199","18","4","1","4","0,223674220585306","0,169744893997533","0,283983590743563","0,738339612231199"
"knn__k5","linear","knn__k5|linear","0,163364850427048","0,169744893997533","0,120618740316515","2,12840909090909E-06","0,329876799854523","0,738339612231199","18","4","1","4","0,223674220585306","0,169744893997533","0,283983590743563","0,738339612231199"
