carpeta,archivo,tipo,tam_kb
results,itX0113_stats.csv,csv,0.8
results,itX0114_raw.csv,csv,7485.0
results,itX0114_significance.csv,csv,0.1
results,itX0114_stats.csv,csv,0.4
results,itX0115_raw.csv,csv,15085.4
results,itX0115_significance.csv,csv,0.1
results,itX0115_stats.csv,csv,0.8
results,itX0116_raw.csv,csv,7485.0
results,itX0116_significance.csv,csv,0.1
results,itX0116_stats.csv,csv,0.4
results,itX0117_raw.csv,csv,3770.2
results,itX0117_significance.csv,csv,0.1
results,itX0117_stats.csv,csv,0.8
results,itX0118_raw.csv,csv,1872.2
results,itX0118_significance.csv,csv,0.1
results,itX0118_stats.csv,csv,0.4
results,itX0119_raw.csv,csv,3770.2
results,itX0119_significance.csv,csv,0.1
results,itX0119_stats.csv,csv,0.8
results,itX0120_raw.csv,csv,1872.2
results,itX0120_significance.csv,csv,0.1
results,itX0120_stats.csv,csv,0.4
results,itX0121_raw.csv,csv,15127.6
results,itX0121_significance.csv,csv,0.1
results,itX0121_stats.csv,csv,0.8
results,itX0122_raw.csv,csv,7510.6
results,itX0122_significance.csv,csv,0.1
results,itX0122_stats.csv,csv,0.4
results,itX0123_raw.csv,csv,15127.6
results,itX0123_significance.csv,csv,0.1
results,itX0123_stats.csv,csv,0.8
results,itX0124_raw.csv,csv,7510.5
results,itX0124_significance.csv,csv,0.1
results,itX0124_stats.csv,csv,0.4
results,itX0125_raw.csv,csv,3779.0
results,itX0125_significance.csv,csv,0.1
results,itX0125_stats.csv,csv,0.8
results,itX0126_raw.csv,csv,1878.1
results,itX0126_significance.csv,csv,0.1
results,itX0126_stats.csv,csv,0.4
results,itX0127_raw.csv,csv,3779.0
results,itX0127_significance.csv,csv,0.1
results,itX0127_stats.csv,csv,0.8
results,itX0128_raw.csv,csv,1878.1
results,itX0128_significance.csv,csv,0.1
results,itX0128_stats.csv,csv,0.4
results,itX0129_raw.csv,csv,15127.6
results,itX0129_significance.csv,csv,0.1
results,itX0129_stats.csv,csv,0.8
results,itX0130_raw.csv,csv,7510.4
results,itX0130_significance.csv,csv,0.1
results,itX0130_stats.csv,csv,0.4
results,itX0131_raw.csv,csv,15127.6
results,itX0131_significance.csv,csv,0.1
results,itX0131_stats.csv,csv,0.8
results,itX0132_raw.csv,csv,7510.4
results,itX0132_significance.csv,csv,0.1
results,itX0132_stats.csv,csv,0.4
results,itX0133_raw.csv,csv,3778.9
results,itX0133_significance.csv,csv,0.1
results,itX0133_stats.csv,csv,0.8
