dataset,graph,method,mae_mean,mae_std,snr_mean,snr_std
mne_sample,knn__k3,sobolev,0.4804819498945741,0.02972497641400211,4.427578896057086,0.5389516164164397
mne_sample,knn__k3,spherical_spline,0.04612296398502456,0.023620854211914715,20.99162524898239,3.199568831338322
mne_sample,knn__k3,temporal_laplacian,0.48677738757523936,0.03128596257063831,4.259944058611228,0.5848591467907478
mne_sample,knn__k3,tikhonov,0.06475743132151442,0.01465893496314184,20.801424656179982,2.112673719522463
mne_sample,knn__k3,trss,0.029395854504450696,0.015633267744646615,24.46129060935766,3.2553352980077257
mne_sample,knn__k3,tv,0.04683060312741993,0.023238506349243803,19.474097860573227,2.7485451429133683
mne_sample,knn__k3,visibility_nnk,0.1937553574923242,0.08941696849340572,6.79716445523736,2.4165136325613066
mne_sample,knn__k5,bgsrp,0.1263577832203066,0.004263616593329746,16.552434434975517,0.4082033506570895
mne_sample,knn__k5,ica,0.19119869142899265,0.08870819618194045,6.894789881960967,2.4617660184798593
mne_sample,knn__k5,idw,0.03892809935155729,0.01884421067276579,21.322817317003352,2.6569749480993288
mne_sample,knn__k5,linear,0.04928396188347873,0.02365839867730841,19.341224968767772,2.693207616305554
mne_sample,knn__k5,rbfi_tps,0.037973087133076615,0.018633362409813597,22.484744809381322,2.9440822234607196
mne_sample,knn__k5,sobolev,0.4846899171004228,0.02769000398136478,4.363648839617942,0.4935495810249882
mne_sample,knn__k5,spherical_spline,0.04612296398502456,0.023620854211914715,20.99162524898239,3.199568831338322
mne_sample,knn__k5,temporal_laplacian,0.5705151770481475,0.025979513483932796,2.95200292938691,0.42434701756286775
mne_sample,knn__k5,tikhonov,0.08187780003060126,0.0136484559354297,19.208761685515626,1.6016250078534613
mne_sample,knn__k5,trss,0.029840907278057754,0.015678923406076684,23.98464707963526,3.119412963789351
mne_sample,knn__k5,tv,0.049397735970913174,0.02399632232610778,18.92686129755524,2.6526011478385643
mne_sample,knn__k5,visibility_nnk,0.1937553574923242,0.08941696849340572,6.79716445523736,2.4165136325613066
mne_sample,knn__k7,bgsrp,0.1347077562522315,0.00456945331940527,15.828606776682367,0.3845885394787609
mne_sample,knn__k7,ica,0.19119869142899265,0.08870819618194045,6.894789881960967,2.4617660184798593
mne_sample,knn__k7,idw,0.03892809935155729,0.01884421067276579,21.322817317003352,2.6569749480993288
mne_sample,knn__k7,linear,0.04928396188347873,0.02365839867730841,19.341224968767772,2.693207616305554
mne_sample,knn__k7,rbfi_tps,0.037973087133076615,0.018633362409813597,22.484744809381322,2.9440822234607196
mne_sample,knn__k7,sobolev,0.48698885731634406,0.02686474101908587,4.3250762428270795,0.47622975286770064
mne_sample,knn__k7,spherical_spline,0.04612296398502456,0.023620854211914715,20.99162524898239,3.199568831338322
mne_sample,knn__k7,temporal_laplacian,0.5992618477342402,0.023984752856324044,2.5251236087873283,0.37388220541406525
mne_sample,knn__k7,tikhonov,0.0963769349811555,0.012951548927968898,17.967116791559096,1.2847705645294876
mne_sample,knn__k7,trss,0.030920815256464007,0.016180214779199564,23.468689219413054,3.0610250951983073
mne_sample,knn__k7,tv,0.0502179387053722,0.02406782129842212,18.74641081675897,2.5941953206788546
mne_sample,knn__k7,visibility_nnk,0.1937553574923242,0.08941696849340572,6.79716445523736,2.4165136325613066
mne_sample,knn__k9,bgsrp,0.14465749861912125,0.004675506531728834,15.007650100405298,0.33589933857919874
mne_sample,knn__k9,ica,0.19119869142899265,0.08870819618194045,6.894789881960967,2.4617660184798593
mne_sample,knn__k9,idw,0.03892809935155729,0.01884421067276579,21.322817317003352,2.6569749480993288
mne_sample,knn__k9,linear,0.04928396188347873,0.02365839867730841,19.341224968767772,2.693207616305554
mne_sample,knn__k9,rbfi_tps,0.037973087133076615,0.018633362409813597,22.484744809381322,2.9440822234607196
mne_sample,knn__k9,sobolev,0.4883455810114411,0.026395153240423654,4.3006505011981355,0.4662173908575924
mne_sample,knn__k9,spherical_spline,0.04612296398502456,0.023620854211914715,20.99162524898239,3.199568831338322
mne_sample,knn__k9,temporal_laplacian,0.665005098021468,0.018167555465504758,1.6072593992725195,0.25477125831112724
mne_sample,knn__k9,tikhonov,0.11036512803907834,0.012261683064540053,16.91563368822976,1.050290586025035
mne_sample,knn__k9,trss,0.03198310260794674,0.016663839360640382,23.04873884281482,3.0124587500001856
mne_sample,knn__k9,tv,0.0506450292677648,0.024073069411560368,18.65286497213348,2.5587612606052743
mne_sample,knn__k9,visibility_nnk,0.1937553574923242,0.08941696849340572,6.79716445523736,2.4165136325613066
mne_sample,knng,bgsrp,0.12891121894844496,0.005315423026045039,16.35659551185837,0.5035998267878724
mne_sample,knng,ica,0.19119869142899265,0.08758288809225247,6.894789881960967,2.43053727824223
mne_sample,knng,idw,0.03892809935155729,0.01860516238155315,21.322817317003352,2.6232698843974105
mne_sample,knng,linear,0.04928396188347873,0.02335827998967288,19.341224968767772,2.6590429229820414
mne_sample,knng,rbfi_tps,0.037973087133076615,0.018396988834875307,22.484744809381322,2.906735059552978
mne_sample,knng,sobolev,0.48314942546761064,0.02831389018222939,4.386131925461256,0.508219411850831
mne_sample,knng,spherical_spline,0.04612296398502456,0.023321211794707943,20.99162524898239,3.1589806912973053
mne_sample,knng,temporal_laplacian,0.5353957034725805,0.05778781689929609,3.506757713107817,0.9270737697061413
mne_sample,knng,tikhonov,0.07687568488961491,0.019183326194251945,19.700260101217353,2.155215551800154
mne_sample,knng,trss,0.029883418013395422,0.015593809541604088,24.096074837912784,3.161002139022508
mne_sample,knng,tv,0.04831117374563619,0.02338601549279984,19.1570898067594,2.6731018198069263
mne_sample,knng,visibility_nnk,0.1937553574923242,0.08828266927042712,6.79716445523736,2.385858941601463
