tag,gain_pct,tv_median,instant_median,p_value,decision
scr_01891,-19.99029247994027,0.18649830130579148,0.15542782457753396,0.7577089171226375,NO-GO
scr_01783,-19.99029247994027,0.18649830130579148,0.15542782457753396,0.7577089171226375,NO-GO
scr_00558,-20.421680827658996,0.0538819740480796,0.044744412864650654,0.5251415251415251,NO-GO
scr_00570,-21.032234702249728,0.0541551627944876,0.044744412864650654,0.5251415251415251,NO-GO
scr_00103,-21.270958998358587,0.1722110889801744,0.142005217409475,0.5251415251415251,NO-GO
scr_00643,-21.270958998358587,0.1722110889801744,0.142005217409475,0.5251415251415251,NO-GO
scr_00535,-21.270958998358587,0.1722110889801744,0.142005217409475,0.5251415251415251,NO-GO
scr_00427,-21.270958998358587,0.1722110889801744,0.142005217409475,0.5251415251415251,NO-GO
scr_00746,-22.368927116631166,0.21857677387609986,0.17862114102526366,0.7545787545787546,NO-GO
scr_00752,-22.698545494228505,0.10711268384659756,0.08729743569098455,0.946053946053946,NO-GO
scr_01831,-22.850201665057092,0.18717580660447197,0.15236100882829184,0.6531927356707931,NO-GO
scr_01939,-22.850201665057092,0.18717580660447197,0.15236100882829184,0.6531927356707931,NO-GO
scr_01723,-22.850201665057092,0.18717580660447197,0.15236100882829184,0.6531927356707931,NO-GO
scr_01615,-22.850201665057092,0.18717580660447197,0.15236100882829184,0.6531927356707931,NO-GO
scr_00582,-23.231473858014954,0.05513919944222425,0.044744412864650654,0.5251415251415251,NO-GO
scr_00734,-25.423577569929385,0.2264763336223256,0.18056918644028846,0.6227106227106227,NO-GO
scr_00722,-26.288666391958905,0.2282650281747917,0.18074862511124423,0.6227106227106227,NO-GO
scr_00662,-26.45667079415021,0.23840338561698635,0.18852574887493773,0.5740925740925741,NO-GO
scr_00626,-28.05328883660612,0.19812194535859656,0.1547183576139125,0.5740925740925741,NO-GO
scr_00614,-29.076160116329604,0.19984108393879968,0.15482416253992476,0.5740925740925741,NO-GO
scr_00542,-29.834689108896388,0.18035765891678218,0.1389133059543976,0.5740925740925741,NO-GO
scr_00674,-31.477604235953404,0.26218421766920785,0.19941359533649905,0.5740925740925741,NO-GO
scr_00644,-32.57051940964627,0.09482126522567336,0.07152515178180244,0.9703629703629704,NO-GO
scr_00638,-33.0052542361609,0.18982181399134096,0.14271753028214806,0.5740925740925741,NO-GO
scr_00554,-35.517802973536625,0.20981430354628333,0.15482416253992476,0.5740925740925741,NO-GO
scr_00747,-37.33157956263089,0.21900625506318905,0.15947261056828516,0.7545787545787546,NO-GO
scr_01771,-40.959741320375706,0.23734681784949743,0.16837915253409236,0.6899188550628998,NO-GO
scr_01807,-40.959741320375706,0.23734681784949743,0.16837915253409236,0.6899188550628998,NO-GO
scr_01699,-40.959741320375706,0.23734681784949743,0.16837915253409236,0.6899188550628998,NO-GO
scr_01591,-40.959741320375706,0.23734681784949743,0.16837915253409236,0.6899188550628998,NO-GO
scr_01879,-40.959741320375706,0.23734681784949743,0.16837915253409236,0.6899188550628998,NO-GO
scr_01555,-40.959741320375706,0.23734681784949743,0.16837915253409236,0.6899188550628998,NO-GO
scr_01915,-40.959741320375706,0.23734681784949743,0.16837915253409236,0.6899188550628998,NO-GO
scr_01663,-40.959741320375706,0.23734681784949743,0.16837915253409236,0.6899188550628998,NO-GO
scr_01987,-40.959741320375706,0.23734681784949743,0.16837915253409236,0.6899188550628998,NO-GO
scr_00079,-41.47004443522423,0.22515005596263582,0.15915033946690155,0.5740925740925741,NO-GO
scr_00619,-41.47004443522423,0.22515005596263582,0.15915033946690155,0.5740925740925741,NO-GO
