dataset,scenario,missing_ratio,method,family,runs,mae_mean,mae_std,rmse_mean,rmse_std,dtw_mean,dtw_std,snr_mean,snr_std,mae_ci95,rmse_ci95,dtw_ci95,snr_ci95
synthetic,left_lateral_temporal,0.1,tikhonov,instant,75,0.35108103463959545,0.14167223589925493,0.4439124706936358,0.13669821701009024,2.865287658758979,1.1766016445473988,6.376865711592536,5.399915386059621,0.032063445384987344,0.03093771893629885,0.2662900202736916,1.2221158998831478
synthetic,occipital_band,0.1,tikhonov,instant,75,0.3512241497603996,0.1423819542984164,0.44292904750676293,0.13508878496098806,2.98738914474415,1.2248401950488188,6.33439032159035,5.406055671071545,0.03222406977963879,0.03057347017379656,0.27720743199967796,1.2235055772033254
synthetic,midline_central,0.1,tikhonov,instant,69,0.36082414860400736,0.1401811332823888,0.4655142185989239,0.12509840681445267,2.8853952452767824,1.1269000455884397,6.301008347470226,5.553741796323029,0.033076617620791365,0.029517753711095832,0.26589913372789076,1.3104402101781427
synthetic,midline_central,0.4,rbfi_tps,instant,23,0.36196272785927613,0.0,0.7060737818649663,0.0,1.632142292988316,0.0,-3.3150846422850084,0.0,0.0,0.0,0.0,0.0
synthetic,right_lateral_temporal,0.2,tikhonov,instant,75,0.36832621506699825,0.13336808201818393,0.45967372210971147,0.1256752287238258,3.1682170865932746,1.2005091965281984,5.762257339774279,4.9092054522780435,0.030184038437365005,0.028442981836594095,0.2717008086498292,1.1110577870369234
synthetic,left_lateral_temporal,0.3,rbfi_mq,instant,23,0.3699176802493983,0.0,0.8255835378478864,0.0,1.953426541936599,0.0,-5.725880904538502,0.0,0.0,0.0,0.0,0.0
synthetic,occipital_band,0.2,tikhonov,instant,75,0.3721584464757477,0.12540047918452407,0.4787564865370434,0.11122155362402933,2.9507673464324933,1.0125037329702788,5.782760146749494,4.827304063792221,0.028380800162167666,0.025171807218412518,0.22915116669206942,1.0925217578707203
synthetic,frontal_band,0.2,tikhonov,instant,75,0.3726756502159278,0.1252350732336311,0.4855029829398696,0.10432805644492683,2.8669180342799168,1.1243366980783525,5.890157172481321,4.883604254144721,0.028343365271420402,0.023611661937223517,0.25446134935576215,1.105263690452454
synthetic,right_lateral_temporal,0.1,graph_time_tikhonov,tv_time,92,0.3756609488609288,0.12783817191486566,0.4521653355360133,0.13660639446969114,3.33710991593606,1.0231119325608695,5.036748722278776,3.8893094371484582,0.02612297948073669,0.027914714253311323,0.2090669134300765,0.7947575368061888
synthetic,left_lateral_temporal,0.2,tikhonov,instant,75,0.3759065686933619,0.1221334654908683,0.49023052683851726,0.101268487011555,2.8455192114172894,1.0708938725476385,5.828398619031806,4.808395607589988,0.027641405357860152,0.02291921618872658,0.2423660993108487,1.088242371377619
