method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
temporal_laplacian,0.3,snr,1.9553,0.1742,1.876,1.5226,2.3879,3
temporal_laplacian,0.3,dtw,,,,,,0
temporal_laplacian,0.4,mae,0.5307,0.015,0.5367,0.4935,0.5679,3
temporal_laplacian,0.4,rmse,0.6057,0.0085,0.6078,0.5846,0.6267,3
temporal_laplacian,0.4,snr,1.7127,0.2651,1.5785,1.0543,2.3712,3
temporal_laplacian,0.4,dtw,,,,,,0
tikhonov,0.1,mae,0.215,0.003,0.216,0.2075,0.2224,3
tikhonov,0.1,rmse,0.2972,0.016,0.2932,0.2574,0.337,3
tikhonov,0.1,snr,10.4272,0.2287,10.3771,9.8591,10.9952,3
tikhonov,0.1,dtw,,,,,,0
tikhonov,0.2,mae,0.2572,0.0113,0.2577,0.2292,0.2851,3
tikhonov,0.2,rmse,0.3622,0.0084,0.3605,0.3413,0.3831,3
tikhonov,0.2,snr,9.3789,0.478,9.1589,8.1914,10.5664,3
tikhonov,0.2,dtw,,,,,,0
tikhonov,0.3,mae,0.3158,0.0096,0.3199,0.2921,0.3395,3
tikhonov,0.3,rmse,0.4481,0.0155,0.4396,0.4097,0.4865,3
tikhonov,0.3,snr,8.0708,0.3154,7.9999,7.2872,8.8543,3
tikhonov,0.3,dtw,,,,,,0
tikhonov,0.4,mae,0.3554,0.0232,0.3602,0.2979,0.413,3
tikhonov,0.4,rmse,0.4908,0.0245,0.4889,0.4299,0.5517,3
tikhonov,0.4,snr,6.987,0.5847,6.7646,5.5345,8.4395,3
tikhonov,0.4,dtw,,,,,,0
trss,0.1,mae,0.0707,0.0109,0.0651,0.0437,0.0977,3
trss,0.1,rmse,0.2412,0.0253,0.2304,0.1783,0.304,3
trss,0.1,snr,-0.0487,0.4315,-0.0621,-1.1206,1.0233,3
trss,0.1,dtw,,,,,,0
trss,0.2,mae,0.1284,0.0056,0.1265,0.1144,0.1423,3
trss,0.2,rmse,0.3243,0.0081,0.3259,0.3041,0.3444,3
trss,0.2,snr,-0.0512,0.4311,-0.0791,-1.122,1.0196,3
trss,0.2,dtw,,,,,,0
trss,0.3,mae,0.2082,0.0078,0.2043,0.1889,0.2275,3
trss,0.3,rmse,0.4237,0.0175,0.4161,0.3802,0.4672,3
trss,0.3,snr,-0.4633,0.2759,-0.4319,-1.1488,0.2221,3
trss,0.3,dtw,,,,,,0
trss,0.4,mae,0.2619,0.023,0.267,0.2048,0.319,3
trss,0.4,rmse,0.4718,0.0243,0.4709,0.4115,0.5321,3
trss,0.4,snr,-0.3123,0.2497,-0.2737,-0.9327,0.3081,3
trss,0.4,dtw,,,,,,0
tv,0.1,mae,0.07,0.0135,0.0657,0.0364,0.1035,3
tv,0.1,rmse,0.2375,0.0322,0.2308,0.1574,0.3176,3
tv,0.1,snr,0.1046,0.7479,-0.0768,-1.7533,1.9626,3
tv,0.1,dtw,,,,,,0
tv,0.2,mae,0.1264,0.0071,0.125,0.1088,0.144,3
tv,0.2,rmse,0.3183,0.016,0.3269,0.2785,0.3582,3
tv,0.2,snr,0.0978,0.6624,-0.0287,-1.5477,1.7433,3
tv,0.2,dtw,,,,,,0
tv,0.3,mae,0.2062,0.0056,0.2037,0.1923,0.2201,3
tv,0.3,rmse,0.4207,0.0148,0.416,0.384,0.4575,3
tv,0.3,snr,-0.3732,0.1966,-0.4055,-0.8615,0.1151,3
tv,0.3,dtw,,,,,,0
tv,0.4,mae,0.2616,0.0222,0.2633,0.2065,0.3167,3
tv,0.4,rmse,0.4694,0.0254,0.4635,0.4063,0.5326,3
tv,0.4,snr,-0.2605,0.3375,-0.2651,-1.0989,0.5778,3
tv,0.4,dtw,,,,,,0
wavelet_temporal,0.1,mae,0.1016,0.0154,0.1031,0.0633,0.1398,3
wavelet_temporal,0.1,rmse,0.2625,0.0231,0.2614,0.2052,0.3198,3
wavelet_temporal,0.1,snr,15.215,2.9923,13.7408,7.7818,22.6483,3
wavelet_temporal,0.1,dtw,,,,,,0
wavelet_temporal,0.2,mae,0.157,0.0083,0.1528,0.1364,0.1776,3
wavelet_temporal,0.2,rmse,0.3389,0.0064,0.3363,0.323,0.3548,3
wavelet_temporal,0.2,snr,13.571,2.1612,12.6965,8.2023,18.9398,3
wavelet_temporal,0.2,dtw,,,,,,0
wavelet_temporal,0.3,mae,0.2217,0.0098,0.2236,0.1973,0.2461,3
wavelet_temporal,0.3,rmse,0.408,0.0083,0.41,0.3874,0.4287,3
wavelet_temporal,0.3,snr,11.9792,2.7355,10.7983,5.184,18.7745,3
wavelet_temporal,0.3,dtw,,,,,,0
wavelet_temporal,0.4,mae,0.2796,0.0167,0.2795,0.238,0.3211,3
wavelet_temporal,0.4,rmse,0.4624,0.0141,0.4623,0.4274,0.4975,3
wavelet_temporal,0.4,snr,9.9705,1.7564,9.2526,5.6073,14.3337,3
wavelet_temporal,0.4,dtw,,,,,,0
