method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
tikhonov,0.1,mae,0.2068,0.1536,0.161,0.1249,0.2887,16
tikhonov,0.1,rmse,0.3264,0.1337,0.2863,0.2552,0.3977,16
tikhonov,0.1,snr,14.6425,7.8951,14.3161,10.4355,18.8495,16
tikhonov,0.1,dtw,,,,,,0
tikhonov,0.2,mae,0.2597,0.1347,0.2213,0.188,0.3315,16
tikhonov,0.2,rmse,0.4111,0.1032,0.3768,0.3561,0.4661,16
tikhonov,0.2,snr,12.9948,7.0141,12.6483,9.2573,16.7324,16
tikhonov,0.2,dtw,,,,,,0
tikhonov,0.3,mae,0.3169,0.1146,0.2888,0.2559,0.378,16
tikhonov,0.3,rmse,0.4872,0.0814,0.4693,0.4438,0.5306,16
tikhonov,0.3,snr,11.3088,6.111,10.9818,8.0525,14.5651,16
tikhonov,0.3,dtw,,,,,,0
tikhonov,0.4,mae,0.3708,0.0932,0.3434,0.3211,0.4204,16
tikhonov,0.4,rmse,0.5497,0.0565,0.537,0.5196,0.5798,16
tikhonov,0.4,snr,9.6668,5.205,9.514,6.8933,12.4404,16
tikhonov,0.4,dtw,,,,,,0
trss,0.1,mae,0.073,0.0081,0.0704,0.0687,0.0773,16
trss,0.1,rmse,0.2583,0.0287,0.2494,0.243,0.2736,16
trss,0.1,snr,-0.8871,0.8435,-0.6624,-1.3366,-0.4376,16
trss,0.1,dtw,,,,,,0
trss,0.2,mae,0.1434,0.0141,0.1412,0.1359,0.1509,16
trss,0.2,rmse,0.3617,0.0354,0.3539,0.3428,0.3806,16
trss,0.2,snr,-0.6613,0.9728,-0.587,-1.1797,-0.143,16
trss,0.2,dtw,,,,,,0
trss,0.3,mae,0.218,0.0164,0.2157,0.2093,0.2267,16
trss,0.3,rmse,0.4467,0.0364,0.4432,0.4272,0.4661,16
trss,0.3,snr,-0.8265,0.7574,-0.7565,-1.2301,-0.4229,16
trss,0.3,dtw,,,,,,0
trss,0.4,mae,0.2894,0.0225,0.2872,0.2774,0.3014,16
trss,0.4,rmse,0.5152,0.0419,0.5134,0.4928,0.5375,16
trss,0.4,snr,-0.8282,0.6886,-0.8347,-1.1952,-0.4613,16
trss,0.4,dtw,,,,,,0
tv,0.1,mae,0.0649,0.0035,0.0657,0.063,0.0667,16
tv,0.1,rmse,0.2284,0.0117,0.231,0.2222,0.2347,16
tv,0.1,snr,0.1247,0.4644,-0.0223,-0.1228,0.3722,16
tv,0.1,dtw,,,,,,0
tv,0.2,mae,0.1302,0.0073,0.1331,0.1263,0.1341,16
tv,0.2,rmse,0.3239,0.015,0.3286,0.3159,0.3319,16
tv,0.2,snr,0.2321,0.6302,-0.0363,-0.1037,0.5679,16
tv,0.2,dtw,,,,,,0
tv,0.3,mae,0.2092,0.0077,0.2089,0.2051,0.2133,16
tv,0.3,rmse,0.4259,0.0185,0.4245,0.416,0.4357,16
tv,0.3,snr,-0.4113,0.3517,-0.402,-0.5988,-0.2239,16
tv,0.3,dtw,,,,,,0
tv,0.4,mae,0.2732,0.0113,0.2749,0.2672,0.2792,16
tv,0.4,rmse,0.482,0.02,0.4917,0.4714,0.4927,16
tv,0.4,snr,-0.2719,0.3823,-0.3531,-0.4756,-0.0682,16
tv,0.4,dtw,,,,,,0
wavelet_temporal,0.1,mae,0.0882,0.0108,0.0847,0.0824,0.0939,16
wavelet_temporal,0.1,rmse,0.245,0.0117,0.2396,0.2388,0.2512,16
wavelet_temporal,0.1,snr,19.4792,5.9199,19.087,16.3247,22.6337,16
wavelet_temporal,0.1,dtw,,,,,,0
wavelet_temporal,0.2,mae,0.1534,0.0094,0.1509,0.1484,0.1584,16
wavelet_temporal,0.2,rmse,0.336,0.0073,0.3341,0.332,0.3399,16
wavelet_temporal,0.2,snr,17.1721,5.1129,16.3837,14.4476,19.8966,16
wavelet_temporal,0.2,dtw,,,,,,0
wavelet_temporal,0.3,mae,0.2157,0.0106,0.2123,0.2101,0.2213,16
wavelet_temporal,0.3,rmse,0.4033,0.0081,0.4003,0.399,0.4077,16
wavelet_temporal,0.3,snr,15.7553,4.8763,15.5126,13.1569,18.3537,16
wavelet_temporal,0.3,dtw,,,,,,0
wavelet_temporal,0.4,mae,0.2834,0.0093,0.2807,0.2784,0.2883,16
wavelet_temporal,0.4,rmse,0.4664,0.0069,0.4644,0.4627,0.4701,16
wavelet_temporal,0.4,snr,13.4317,3.8675,13.1508,11.3709,15.4925,16
wavelet_temporal,0.4,dtw,,,,,,0
