dataset,graph,graph_method,interp_label,method,family,missing_ratio,mae,rmse,dtw,snr
synthetic_alpha,knn__k5,knn,spline_surface,spline_surface,instant,0.1,0.14898444371599687,1.0402305652446082,5.476634934387804,2.522497715414909
synthetic_alpha,knn__k5,knn,gsp,gsp,instant,0.1,0.03637733142638569,0.1867978549882539,0.8429686922342695,13.23630218915201
synthetic_alpha,knn__k5,knn,tikhonov__alpha0_1,tikhonov,instant,0.1,0.22688680274353715,0.2933333593934385,2.1821853793600665,7.932563998909151
synthetic_alpha,knn__k5,knn,tikhonov__alpha1,tikhonov,instant,0.1,0.47955183997732426,0.5587674176109332,4.246636463890445,2.14033636339277
synthetic_alpha,knn__k5,knn,bgsrp__bandwidth0_5_gamma0_1,bgsrp,instant,0.1,0.5575817260208747,0.6512856880567282,4.459720087893063,0.8181620037152667
synthetic_alpha,knn__k5,knn,bgsrp__bandwidth0_5_gamma1,bgsrp,instant,0.1,0.5629302357652407,0.6539726277644649,4.523676949361314,0.7651135025316885
synthetic_alpha,knn__k5,knn,gsmooth__lam0_5_n_iter20,gsmooth,instant,0.1,0.03459343640684923,0.17457936405899285,0.7854679568773455,13.692727122041548
synthetic_alpha,knn__k5,knn,puy__alpha0_5,puy,instant,0.1,0.5199683946121487,0.6060440592578825,4.378258036209162,1.4383775840521478
synthetic_alpha,knn__k5,knn,sobolev__alpha1_order2,sobolev,instant,0.1,0.5801278257845622,0.6534974229195009,5.350949079045787,0.7413064388710022
synthetic_alpha,knn__k5,knn,graph_time_tikhonov__alpha0_5_beta0_5,graph_time_tikhonov,tv_time,0.1,0.43431332547565576,0.504376675920335,4.06979886203101,3.0358238266802915
synthetic_alpha,knn__k5,knn,trss__alpha0_5_beta0_5_lr0_01_n_iter30,trss,tv_time,0.1,0.017904800784158147,0.09323246592673859,0.5229558280678839,19.751760934532733
synthetic_alpha,knn__k5,knn,tv__lam0_5_n_iter20,tv,tv_time,0.1,0.03380630718888197,0.16791999222955706,0.7623855386726075,13.954979689217524
synthetic_alpha,knn__k5,knn,temporal_laplacian__alpha0_5_beta0_5,temporal_laplacian,tv_time,0.1,0.4947197475090386,0.555989177993433,4.723164509249804,2.14774123322824
synthetic_alpha,knn__k5,knn,heat_diffusion_temporal__alpha0_5_beta0_5_n_iter10,heat_diffusion_temporal,tv_time,0.1,0.03902434194981062,0.19426043859430936,0.8670230805316637,12.34976998263454
synthetic_alpha,knn__k5,knn,spline_temporal__alpha0_5,spline_temporal,tv_time,0.1,0.19375879196859302,0.23703466734932338,1.9673316242463066,9.637322260944956
synthetic_alpha,knn__k5,knn,wavelet_temporal__alpha0_5_wavelet_level1,wavelet_temporal,tv_time,0.1,0.05685934129430066,0.16515945416422245,0.9458490914003586,13.35743186738049
synthetic_alpha,knn__k5,knn,directed_tv__alpha0_5_beta0_5_n_iter10,directed_tv,tv_time,0.1,0.03945082838120753,0.20302308454040116,0.9913780378066942,12.343252725124184
synthetic_alpha,knn__k5,knn,linear,linear,instant,0.2,0.11148323447242268,0.34541256360971495,1.7771568864050649,6.597817472802678
synthetic_alpha,knn__k5,knn,nearest,nearest,instant,0.2,0.12365288586594193,0.39196214552140274,1.9634110649997876,5.723838703982551
synthetic_alpha,knn__k5,knn,mean,mean,instant,0.2,0.09263121605180716,0.2695789097417286,1.3893319131145194,8.672088831776946
synthetic_alpha,knn__k5,knn,idw__power2,idw,instant,0.2,0.09749730222491489,0.284079854671387,1.5031273911667424,8.282224683746971
synthetic_alpha,knn__k5,knn,spherical_spline,spherical_spline,instant,0.2,0.17016138931077837,0.5339680001762517,3.027300283969287,2.851435403125991
synthetic_alpha,knn__k5,knn,rbfi_tps,rbfi_tps,instant,0.2,0.1292297123281767,0.3957212331437163,2.0853846616596834,5.436893183903121
synthetic_alpha,knn__k5,knn,rbfi_mq,rbfi_mq,instant,0.2,0.13627318672664918,0.41975882130413256,2.2283688174532643,4.9057030333762155
synthetic_alpha,knn__k5,knn,spline_surface,spline_surface,instant,0.2,17.60586815283146,368.99795082303757,1665.5135172437147,-33.97138008681932
synthetic_alpha,knn__k5,knn,gsp,gsp,instant,0.2,0.10088800293900901,0.2989542173679686,1.553986114734432,7.873940770671236
synthetic_alpha,knn__k5,knn,tikhonov__alpha0_1,tikhonov,instant,0.2,0.2670632411102168,0.36151612234581976,2.4051352728323243,6.016109927837059
synthetic_alpha,knn__k5,knn,tikhonov__alpha1,tikhonov,instant,0.2,0.49115448323686783,0.5724965075678004,4.279995600939927,1.9183016669795252
synthetic_alpha,knn__k5,knn,bgsrp__bandwidth0_5_gamma0_1,bgsrp,instant,0.2,0.5601764731364661,0.6552040324669142,4.373255309938628,0.7633940803794796
synthetic_alpha,knn__k5,knn,bgsrp__bandwidth0_5_gamma1,bgsrp,instant,0.2,0.565297692037335,0.6560734797582108,4.565608261996645,0.7310215286350926
synthetic_alpha,knn__k5,knn,gsmooth__lam0_5_n_iter20,gsmooth,instant,0.2,0.09587134920290276,0.28000294719745006,1.4599654944768687,8.388618518285226
synthetic_alpha,knn__k5,knn,puy__alpha0_5,puy,instant,0.2,0.5267987812744551,0.6137956309267885,4.393734776736283,1.3163838206973544
