dataset,scenario,missing_ratio,grupo,method,family,runs,mae_mean,mae_std,rmse_mean,rmse_std,dtw_mean,dtw_std,snr_mean,snr_std,mae_ci95,rmse_ci95,dtw_ci95,snr_ci95
mne_sample,right_lateral_temporal,0.1,GSP,gsmooth,instant,69,1.7643530867246884e-06,4.7223710831859874e-08,6.552372490682487e-06,2.0392051168745815e-07,1.234873708694448e-05,5.665862664841033e-07,2.6409356976824987,0.3411858787257971,1.1142730760163496e-08,4.8116323731915193e-08,1.336895832332447e-07,0.0805049480195968
mne_sample,right_lateral_temporal,0.1,TV/Tiempo,tv,tv_time,69,1.8024720764422647e-06,5.8608644182672475e-09,6.759299209207695e-06,2.0606907559256187e-08,1.2966076452977229e-05,6.784329303642326e-08,2.2650849709900616,0.0626163288540994,1.3829077191137404e-09,4.862329086122058e-09,1.600805050834177e-08,0.0147747155257516
mne_sample,right_lateral_temporal,0.2,Baseline,idw,instant,69,3.93557614938352e-06,1.75241619609266e-07,1.044564948339481e-05,4.299558722173498e-07,2.753801098466073e-05,1.1132646284590531e-06,4.992404175546255,0.4076019962760074,4.1349359270674964e-08,1.014507847535984e-07,2.626817715342198e-07,0.0961762475206533
mne_sample,right_lateral_temporal,0.2,GSP,gsmooth,instant,69,3.7489292739306423e-06,7.932556003222657e-08,1.0041503579576784e-05,8.073783513122855e-08,2.678687320366587e-05,2.496208474216344e-07,4.157522334579744,0.579921202696821,1.8717363423332543e-08,1.9050598590799423e-08,5.8899604583098345e-08,0.1368360450699969
mne_sample,right_lateral_temporal,0.2,TV/Tiempo,tv,tv_time,69,3.6732259039868487e-06,3.500069070525609e-09,1.0059160601543925e-05,8.782955783019647e-09,2.689449902749968e-05,4.5686252623933056e-08,3.52489021784436,0.0945199383822327,8.258632497921078e-10,2.072393504124684e-09,1.0779957852991317e-08,0.0223025722948884
mne_sample,right_lateral_temporal,0.3,Baseline,idw,instant,69,5.497178011049472e-06,1.956279456430999e-07,1.2184795702250338e-05,5.488586565208395e-07,3.833789807351498e-05,1.821417560244296e-06,6.017952124040113,0.1695635343989787,4.615964076237569e-08,1.295066424739901e-07,4.2977489735820366e-07,0.040009579452084
mne_sample,right_lateral_temporal,0.3,GSP,gsmooth,instant,69,5.267375672026056e-06,7.3794221285378e-08,1.1553901065613138e-05,1.418008105301973e-07,3.673914098028759e-05,4.103299277679957e-07,5.12825196047958,0.5507156874576715,1.7412209353190906e-08,3.34587906261054e-08,9.681992006590557e-08,0.1299448205709229
mne_sample,right_lateral_temporal,0.3,TV/Tiempo,tv,tv_time,69,5.197290978315574e-06,2.425225198309572e-09,1.1455514249113653e-05,3.1826331643864134e-08,3.6467059875950594e-05,3.0723993790058e-08,4.553538792295186,0.1013757320490981,5.722470966702592e-10,7.509622567652902e-09,7.249519037131295e-09,0.023920239810453
mne_sample,right_lateral_temporal,0.4,Baseline,idw,instant,69,9.821109210145518e-06,3.393548867636608e-07,2.2231222232297937e-05,5.868087168687742e-07,7.285151323482212e-05,2.910382457878042e-06,6.98580104320977,0.4804476841495769,8.007291398206108e-08,1.3846119723768945e-07,6.867229949951115e-07,0.1133646444660808
mne_sample,right_lateral_temporal,0.4,GSP,gsmooth,instant,69,9.338992795766085e-06,2.643708670412265e-07,2.152510421442035e-05,6.318418297298417e-07,6.979107244766033e-05,2.019461830606179e-06,5.532678871485734,0.7521317777476839,6.237996422517374e-08,1.4908704266710865e-07,4.76504685093281e-07,0.1774702103662593
mne_sample,right_lateral_temporal,0.4,TV/Tiempo,tv,tv_time,69,9.044933445268313e-06,1.8949707951974553e-08,2.085466167430015e-05,4.934856852674938e-08,6.753801698517587e-05,4.884731870369792e-08,4.736392214723479,0.1194686364364597,4.471302444748295e-09,1.1644104260482361e-08,1.1525831220870362e-08,0.0281893740802177
synthetic,frontal_band,0.1,Baseline,spherical_spline,instant,23,0.0482787587066522,0.0,0.1885860568009146,0.0,0.4042755121216674,0.0,1.1327681389440492,0.0,0.0,0.0,0.0,0.0
synthetic,frontal_band,0.1,GSP,gsmooth,instant,69,0.051582904131623,0.0041455946325994,0.2032287778200052,0.017740421926448,0.3774309937273775,0.02455712431457,0.5201607460659747,0.7167426117963099,0.0009781790549308,0.0041859638223251,0.0057944075054878,0.1691199146974813
