bootstrap,p_value,gain_pct,decision
145,0.00010365414204704102,99.99850554815296,GO
146,0.022515400665129512,19.217414087433177,GO
147,0.029255368559540747,25.614985543992784,GO
148,0.0002486935957223632,99.9985123754886,GO
149,0.0006277719501540667,99.99616703272677,GO
150,0.4389163117497201,-2306943.610436266,NO-GO
151,0.003105189173889641,99.99495470953815,GO
152,0.08208064791712844,99.99688841296796,NO-GO
153,0.04180693500812133,56.670544898036276,GO
154,0.14959668571815177,-1900469.758666021,NO-GO
155,0.1227240574579172,-950221.6374925732,NO-GO
156,0.07748483064668735,-935009.5461141935,NO-GO
157,0.4525225657542653,-6.9311470114203395,NO-GO
158,0.0486780900983811,99.99377709300947,GO
159,0.08933133326162318,61.35100628076017,NO-GO
160,0.10893421988022434,25.61491077703444,NO-GO
161,0.32691076677905606,-2394445.1204994624,NO-GO
162,0.02965501716539101,18.058917193993828,GO
163,0.005694417747526807,99.99814173404155,GO
164,0.0020304371250917438,28.75903808835148,GO
165,0.008581288144369526,99.99692883798387,GO
166,0.20828135374694218,6.654593006131219,NO-GO
167,0.0007436557352929743,99.99815840923337,GO
168,0.030809304241691128,53.55542944585956,GO
169,0.2725589970541195,-1874223.1583085675,NO-GO
170,0.04865267720254093,99.99690862547592,GO
171,0.1392227481332215,-67.79486120651806,NO-GO
172,0.01614106634765452,99.99806608003736,GO
173,0.04858567049410606,-60.87678188819281,NO-GO
174,0.014115444541491759,19.217414087433177,GO
175,0.020575904929894875,19.558156816410328,GO
176,0.48490242515512094,-1900469.758666021,NO-GO
177,0.02691521705786788,25.61491077703444,GO
178,0.0009659516993017701,99.99878104266307,GO
179,0.009506717801323145,99.99688841296796,GO
180,0.24250430610578083,6.173962065069281,NO-GO
181,0.004425310941404542,99.99848587701892,GO
182,0.39995875731592834,-74.71300485054509,NO-GO
183,0.08332100445320123,52.48473005113679,NO-GO
184,0.006955716550537468,99.99692883798387,GO
185,0.04877049686019441,16.05723878995579,GO
186,0.19215582612779858,-2035424.5002143318,NO-GO
187,0.2408020497507698,-1075818.9727001227,NO-GO
188,0.6500005413942217,1.1293185475953684,NO-GO
189,0.05182807135268314,54.30798635146571,NO-GO
190,0.03539195589071772,99.99702955853714,GO
