method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
spherical_spline,0.2,snr,-3.5775,2.3981,-4.8242,-6.0942,-1.0609,6
spherical_spline,0.2,dtw,,,,,,0
spherical_spline,0.3,mae,0.2823,0.064,0.3057,0.2151,0.3495,6
spherical_spline,0.3,rmse,0.618,0.1607,0.6772,0.4493,0.7867,6
spherical_spline,0.3,snr,-3.1627,2.1629,-4.1537,-5.4325,-0.8929,6
spherical_spline,0.3,dtw,,,,,,0
spherical_spline,0.4,mae,0.3873,0.1159,0.4485,0.2657,0.509,6
spherical_spline,0.4,rmse,0.7433,0.2321,0.8509,0.4997,0.9869,6
spherical_spline,0.4,snr,-3.4995,2.5093,-5.0001,-6.1328,-0.8661,6
spherical_spline,0.4,dtw,,,,,,0
spline_surface,0.1,mae,0.3057,0.1686,0.3637,0.1288,0.4826,6
spline_surface,0.1,rmse,1.2707,0.7274,1.7384,0.5073,2.0341,6
spline_surface,0.1,snr,-10.7938,6.8573,-12.9993,-17.9902,-3.5975,6
spline_surface,0.1,dtw,,,,,,0
spline_surface,0.2,mae,0.1884,0.0315,0.2058,0.1554,0.2215,6
spline_surface,0.2,rmse,0.5113,0.0791,0.5421,0.4283,0.5943,6
spline_surface,0.2,snr,-3.8505,1.0839,-4.3736,-4.988,-2.7131,6
spline_surface,0.2,dtw,,,,,,0
spline_surface,0.3,mae,0.282,0.0372,0.2678,0.243,0.321,6
spline_surface,0.3,rmse,0.609,0.0814,0.5769,0.5236,0.6944,6
spline_surface,0.3,snr,-3.3117,0.6618,-3.1221,-4.0062,-2.6172,6
spline_surface,0.3,dtw,,,,,,0
spline_surface,0.4,mae,0.3791,0.0693,0.3545,0.3064,0.4519,6
spline_surface,0.4,rmse,0.7235,0.1163,0.6678,0.6015,0.8456,6
spline_surface,0.4,snr,-3.761,1.0075,-3.2061,-4.8183,-2.7036,6
spline_surface,0.4,dtw,,,,,,0
temporal_laplacian,0.1,mae,0.4774,0.1561,0.4808,0.3136,0.6412,6
temporal_laplacian,0.1,rmse,0.5473,0.1615,0.5524,0.3778,0.7169,6
temporal_laplacian,0.1,snr,3.0134,3.0533,2.8962,-0.1909,6.2176,6
temporal_laplacian,0.1,dtw,,,,,,0
temporal_laplacian,0.2,mae,0.4928,0.1415,0.4991,0.3443,0.6413,6
temporal_laplacian,0.2,rmse,0.571,0.1386,0.578,0.4255,0.7164,6
temporal_laplacian,0.2,snr,2.7594,2.8159,2.5877,-0.1956,5.7145,6
temporal_laplacian,0.2,dtw,,,,,,0
temporal_laplacian,0.3,mae,0.5143,0.1197,0.517,0.3888,0.6399,6
temporal_laplacian,0.3,rmse,0.5979,0.1107,0.6024,0.4818,0.7141,6
temporal_laplacian,0.3,snr,2.3483,2.3816,2.2755,-0.151,4.8477,6
temporal_laplacian,0.3,dtw,,,,,,0
temporal_laplacian,0.4,mae,0.5307,0.1058,0.5375,0.4196,0.6417,6
temporal_laplacian,0.4,rmse,0.6241,0.088,0.632,0.5317,0.7165,6
temporal_laplacian,0.4,snr,2.1004,2.1909,1.9414,-0.1988,4.3995,6
temporal_laplacian,0.4,dtw,,,,,,0
tikhonov,0.1,mae,0.3517,0.263,0.3402,0.0757,0.6277,6
tikhonov,0.1,rmse,0.4759,0.216,0.4721,0.2492,0.7027,6
tikhonov,0.1,snr,10.9766,11.4296,10.7849,-1.0181,22.9712,6
tikhonov,0.1,dtw,,,,,,0
tikhonov,0.2,mae,0.3843,0.2323,0.3776,0.1405,0.628,6
tikhonov,0.2,rmse,0.5269,0.1646,0.5207,0.3542,0.6996,6
tikhonov,0.2,snr,9.9411,10.3821,9.5346,-0.9543,20.8365,6
tikhonov,0.2,dtw,,,,,,0
tikhonov,0.3,mae,0.4253,0.1919,0.422,0.2239,0.6267,6
tikhonov,0.3,rmse,0.5815,0.1177,0.5855,0.458,0.705,6
tikhonov,0.3,snr,8.6547,9.0444,8.3286,-0.8368,18.1463,6
tikhonov,0.3,dtw,,,,,,0
tikhonov,0.4,mae,0.4545,0.1628,0.4549,0.2836,0.6254,6
tikhonov,0.4,rmse,0.6115,0.0864,0.606,0.5208,0.7022,6
tikhonov,0.4,snr,7.5331,7.9237,7.1549,-0.7823,15.8485,6
tikhonov,0.4,dtw,,,,,,0
trss,0.1,mae,0.0807,0.0117,0.0785,0.0684,0.093,6
trss,0.1,rmse,0.2777,0.0357,0.2685,0.2402,0.3152,6
trss,0.1,snr,-1.2061,0.9888,-1.0016,-2.2438,-0.1684,6
trss,0.1,dtw,,,,,,0
trss,0.2,mae,0.1451,0.0213,0.1412,0.1227,0.1675,6
trss,0.2,rmse,0.373,0.0478,0.3531,0.3228,0.4232,6
trss,0.2,snr,-1.2003,0.9122,-0.8662,-2.1576,-0.243,6
trss,0.2,dtw,,,,,,0
trss,0.3,mae,0.2249,0.0194,0.2201,0.2046,0.2453,6
trss,0.3,rmse,0.4631,0.0449,0.4549,0.4159,0.5102,6
trss,0.3,snr,-1.2184,0.7861,-1.1309,-2.0434,-0.3935,6
trss,0.3,dtw,,,,,,0
trss,0.4,mae,0.2843,0.0439,0.2813,0.2382,0.3304,6
trss,0.4,rmse,0.513,0.07,0.4942,0.4395,0.5865,6
trss,0.4,snr,-0.9996,0.9455,-0.6303,-1.9919,-0.0073,6
trss,0.4,dtw,,,,,,0
tv,0.1,mae,0.0712,0.011,0.0662,0.0596,0.0827,6
tv,0.1,rmse,0.2433,0.0277,0.2333,0.2143,0.2723,6
tv,0.1,snr,-0.1012,0.6099,-0.1579,-0.7413,0.5389,6
tv,0.1,dtw,,,,,,0
tv,0.2,mae,0.1293,0.006,0.1294,0.123,0.1356,6
tv,0.2,rmse,0.3274,0.0137,0.3313,0.3131,0.3418,6
tv,0.2,snr,-0.1391,0.5388,-0.1257,-0.7046,0.4264,6
tv,0.2,dtw,,,,,,0
tv,0.3,mae,0.2095,0.0072,0.2088,0.2019,0.2171,6
tv,0.3,rmse,0.4281,0.0177,0.426,0.4095,0.4467,6
tv,0.3,snr,-0.5463,0.3396,-0.4814,-0.9026,-0.1899,6
tv,0.3,dtw,,,,,,0
tv,0.4,mae,0.2621,0.02,0.2607,0.241,0.2831,6
tv,0.4,rmse,0.4732,0.0239,0.4643,0.4482,0.4982,6
tv,0.4,snr,-0.3313,0.4072,-0.4178,-0.7586,0.096,6
tv,0.4,dtw,,,,,,0
wavelet_temporal,0.1,mae,0.0963,0.0177,0.0919,0.0777,0.1149,6
wavelet_temporal,0.1,rmse,0.2577,0.0258,0.2507,0.2306,0.2847,6
wavelet_temporal,0.1,snr,18.7868,6.0364,19.6512,12.452,25.1216,6
wavelet_temporal,0.1,dtw,,,,,,0
wavelet_temporal,0.2,mae,0.1521,0.0138,0.1518,0.1375,0.1666,6
wavelet_temporal,0.2,rmse,0.3349,0.0149,0.3332,0.3192,0.3505,6
wavelet_temporal,0.2,snr,16.9028,5.3676,17.396,11.2699,22.5357,6
wavelet_temporal,0.2,dtw,,,,,,0
wavelet_temporal,0.3,mae,0.2177,0.0126,0.2144,0.2045,0.2309,6
wavelet_temporal,0.3,rmse,0.4064,0.0106,0.4019,0.3953,0.4175,6
wavelet_temporal,0.3,snr,14.9534,5.0045,15.6288,9.7015,20.2053,6
wavelet_temporal,0.3,dtw,,,,,,0
wavelet_temporal,0.4,mae,0.2755,0.0183,0.2773,0.2564,0.2947,6
wavelet_temporal,0.4,rmse,0.4607,0.0148,0.4619,0.4452,0.4762,6
wavelet_temporal,0.4,snr,12.6498,4.2258,12.9466,8.2151,17.0844,6
wavelet_temporal,0.4,dtw,,,,,,0
