method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
tikhonov,0.1,mae,0.5913,0.0255,0.6001,0.5281,0.6546,3
tikhonov,0.1,rmse,0.6719,0.0265,0.6852,0.606,0.7377,3
tikhonov,0.1,snr,0.5554,0.3728,0.3562,-0.3706,1.4813,3
tikhonov,0.1,dtw,,,,,,0
tikhonov,0.2,mae,0.5957,0.0244,0.6024,0.5351,0.6563,3
tikhonov,0.2,rmse,0.6761,0.0259,0.6889,0.6118,0.7404,3
tikhonov,0.2,snr,0.4965,0.3486,0.312,-0.3696,1.3626,3
tikhonov,0.2,dtw,,,,,,0
tikhonov,0.3,mae,0.5997,0.0233,0.6023,0.5418,0.6576,3
tikhonov,0.3,rmse,0.6871,0.0161,0.6925,0.647,0.7272,3
tikhonov,0.3,snr,0.4241,0.3384,0.2684,-0.4166,1.2648,3
tikhonov,0.3,dtw,,,,,,0
tikhonov,0.4,mae,0.6024,0.0142,0.6022,0.5671,0.6377,3
tikhonov,0.4,rmse,0.6894,0.0185,0.6914,0.6436,0.7353,3
tikhonov,0.4,snr,0.3455,0.2429,0.2717,-0.2581,0.949,3
tikhonov,0.4,dtw,,,,,,0
trss,0.1,mae,0.0871,0.0128,0.0932,0.0553,0.1189,3
trss,0.1,rmse,0.2982,0.0394,0.3061,0.2002,0.3961,3
trss,0.1,snr,-1.8148,1.0629,-1.5503,-4.4552,0.8255,3
trss,0.1,dtw,,,,,,0
trss,0.2,mae,0.1547,0.0275,0.1557,0.0864,0.223,3
trss,0.2,rmse,0.4011,0.0558,0.3996,0.2625,0.5397,3
trss,0.2,snr,-1.8319,0.9264,-1.683,-4.1333,0.4695,3
trss,0.2,dtw,,,,,,0
trss,0.3,mae,0.2379,0.0198,0.2337,0.1887,0.2871,3
trss,0.3,rmse,0.4958,0.0406,0.4822,0.395,0.5966,3
trss,0.3,snr,-1.8112,0.6515,-1.5257,-3.4295,-0.1929,3
trss,0.3,dtw,,,,,,0
trss,0.4,mae,0.2984,0.0604,0.2815,0.1483,0.4486,3
trss,0.4,rmse,0.541,0.0966,0.494,0.3009,0.781,3
trss,0.4,snr,-1.423,1.2975,-0.8154,-4.6462,1.8001,3
