method,mae_mean,dataset,scenario,family,rank
wavelet_temporal,0.14581412478360803,synthetic_broad,20pct,tv_time,4
heat_diffusion_temporal,0.2377554516551601,synthetic_broad,20pct,tv_time,5
gsmooth,0.20329023544195549,synthetic_broad,30pct,instant,1
mean,0.20399993675231515,synthetic_broad,30pct,instant,2
spherical_spline,0.20399993675231518,synthetic_broad,30pct,instant,3
idw,0.20703967290684916,synthetic_broad,30pct,instant,4
gsp,0.210053720815173,synthetic_broad,30pct,instant,5
tv,0.20384117327409312,synthetic_broad,30pct,tv_time,1
directed_tv,0.2043328729669261,synthetic_broad,30pct,tv_time,2
trss,0.2057449401017995,synthetic_broad,30pct,tv_time,3
wavelet_temporal,0.21741136316498394,synthetic_broad,30pct,tv_time,4
heat_diffusion_temporal,0.39452378079750705,synthetic_broad,30pct,tv_time,5
mean,0.24587787388033544,synthetic_broad,40pct,instant,1
spherical_spline,0.24587787388033544,synthetic_broad,40pct,instant,2
gsmooth,0.24670217569119676,synthetic_broad,40pct,instant,3
idw,0.25190320497828167,synthetic_broad,40pct,instant,4
gsp,0.25764382682364984,synthetic_broad,40pct,instant,5
tv,0.24762601954037916,synthetic_broad,40pct,tv_time,1
directed_tv,0.24954043386095495,synthetic_broad,40pct,tv_time,2
trss,0.2518168224379765,synthetic_broad,40pct,tv_time,3
wavelet_temporal,0.26074236955095187,synthetic_broad,40pct,tv_time,4
graph_time_tikhonov,0.4441811958361482,synthetic_broad,40pct,tv_time,5
