dataset,graph,method,mae,rmse,snr
synthetic,kalofolias,rbfi_tps,0.1514783592473122,0.43645889520406395,4.530974977033934
synthetic,kalofolias,rbfi_mq,0.18880171098178,0.5486173878615199,2.5870584641658176
synthetic,kalofolias,spline_surface,0.177056477437106,0.5323940190181434,2.8822345820056294
synthetic,kalofolias,spherical_spline,0.10525561374556656,0.2909932952647151,7.968421594899013
synthetic,kalofolias,gsp,0.143512584401865,0.41606047066018603,4.809980422331085
synthetic,kalofolias,tikhonov,0.556254341511541,0.6522495034647318,0.8359174924045658
synthetic,kalofolias,bgsrp,0.5497705195985892,0.6454420781752743,0.9392483676960204
synthetic,kalofolias,gsmooth,0.11712691793289971,0.3282152825062331,6.849345321001758
synthetic,kalofolias,graph_time_tikhonov,0.5560265792391024,0.6513383698732274,0.8476146631875053
synthetic,kalofolias,trss,0.11450200560319708,0.3313364083438346,6.801212365820516
synthetic,kalofolias,tv,0.10525673701386039,0.29099439398897514,7.968481617521004
synthetic,kalofolias,puy,0.5607213422549087,0.657426441328866,0.7664461076842722
synthetic,kalofolias,sobolev,0.5954959695159704,0.6732057384286758,0.5141059920180207
mne_sample,knn,linear,4.7346493305824634e-06,1.431773882043458e-05,1.0741561582903143
mne_sample,knn,idw,3.647782343136269e-06,1.2256078134780409e-05,4.416831636598475
mne_sample,knn,rbfi_tps,5.285377198068019e-06,1.700890855242482e-05,-0.09629085658260265
mne_sample,knn,rbfi_mq,7.17627339462444e-06,2.221806055701329e-05,-3.6253913303101863
mne_sample,knn,spline_surface,4.816687990985661e-06,1.634382609221894e-05,0.9721712835535767
mne_sample,knn,spherical_spline,4.6888238126766754e-06,1.55913580236117e-05,1.1973773039640303
mne_sample,knn,gsp,4.120034708023134e-06,1.3740899437363394e-05,2.8902436313619586
mne_sample,knn,tikhonov,1.5519354989872047e-05,2.2536708114134602e-05,7.931769030278221
mne_sample,knn,bgsrp,1.6687313109899253e-05,2.465530026840821e-05,5.1694162454519805
mne_sample,knn,gsmooth,3.6851336022183183e-06,1.238644136610017e-05,4.286289476349632
mne_sample,knn,graph_time_tikhonov,1.5476345752900007e-05,2.2445143957735824e-05,8.656312681683183
mne_sample,knn,trss,3.226475775738784e-06,1.0704187959821992e-05,4.902300760072087
mne_sample,knn,tv,3.529657175434895e-06,1.163818613964996e-05,4.37040426491235
mne_sample,knn,puy,1.652887447477639e-05,2.3974365597793993e-05,7.220689849625475
mne_sample,knn,sobolev,2.9368232463134802e-05,3.695539237966818e-05,3.6716046765327754
mne_sample,knng,linear,4.7346493305824634e-06,1.431773882043458e-05,1.0741561582903143
mne_sample,knng,idw,3.647782343136269e-06,1.2256078134780409e-05,4.416831636598475
mne_sample,knng,rbfi_tps,5.285377198068019e-06,1.700890855242482e-05,-0.09629085658260265
mne_sample,knng,rbfi_mq,7.17627339462444e-06,2.221806055701329e-05,-3.6253913303101863
mne_sample,knng,spline_surface,4.816687990985661e-06,1.634382609221894e-05,0.9721712835535767
mne_sample,knng,spherical_spline,4.6888238126766754e-06,1.55913580236117e-05,1.1973773039640303
