dataset,seed,graph,graph_params,method,method_params,mae,rmse,snr
synthetic,21,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.09480384810727394,0.2698887127356159,8.70017397504655
synthetic,42,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.09548241881726537,0.2745190281819775,8.587810616365287
mne_sample,1,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.321895758817845e-06,1.1024086323914117e-05,11.366829986903637
mne_sample,7,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.3462690631291574e-06,1.0995463181217863e-05,11.35642310378937
mne_sample,13,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.259707061442221e-06,1.0696101493070932e-05,11.194954567914975
mne_sample,21,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.239942173522853e-06,1.0480752428119219e-05,11.324167314882954
mne_sample,42,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.277598405160509e-06,1.0697326613744225e-05,11.370534789358421
synthetic,1,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.06830808359628045,0.19165090162345874,11.734333307192419
synthetic,7,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.06945612532310491,0.19710763188412198,11.524096626908916
synthetic,13,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07057994366320021,0.19842885469412203,11.43158940425601
synthetic,21,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.06800281519111029,0.19220122280181656,11.686182205395523
synthetic,42,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.068946817558961,0.19639317891141306,11.592098169958154
mne_sample,1,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.5250725413348518e-06,1.1835252951319088e-05,10.716925241729486
mne_sample,7,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.5846262776182653e-06,1.182365223490644e-05,10.61280122190836
mne_sample,13,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.4750271916580402e-06,1.1474366160088985e-05,10.670757267418864
mne_sample,21,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.448480764631072e-06,1.1256250096346792e-05,10.689463709679725
mne_sample,42,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.5229177648441465e-06,1.1747283819538204e-05,10.590848884937481
synthetic,1,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07043165236309748,0.1986008367279092,11.434189960327272
synthetic,7,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07176031657265595,0.20451689998007155,11.195264783353023
synthetic,13,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07231554860921195,0.2039655471243147,11.129139724083592
synthetic,21,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.6}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.06978387447861388,0.1989277574372975,11.410920738124902
