method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
spline_surface,0.2,dtw,,,,,,0
spline_surface,0.3,mae,0.282,0.0416,0.2678,0.1787,0.3853,3
spline_surface,0.3,rmse,0.609,0.091,0.5769,0.383,0.8349,3
spline_surface,0.3,snr,-3.3117,0.7399,-3.1221,-5.1498,-1.4736,3
spline_surface,0.3,dtw,,,,,,0
spline_surface,0.4,mae,0.3791,0.0775,0.3545,0.1865,0.5717,3
spline_surface,0.4,rmse,0.7235,0.1301,0.6678,0.4005,1.0466,3
spline_surface,0.4,snr,-3.761,1.1264,-3.2061,-6.5592,-0.9628,3
spline_surface,0.4,dtw,,,,,,0
temporal_laplacian,0.1,mae,0.3983,0.0084,0.3985,0.3774,0.4191,3
temporal_laplacian,0.1,rmse,0.4602,0.0101,0.4631,0.4353,0.4852,3
temporal_laplacian,0.1,snr,4.2176,0.1761,4.2864,3.7802,4.655,3
temporal_laplacian,0.1,dtw,,,,,,0
temporal_laplacian,0.2,mae,0.4217,0.0123,0.4189,0.3912,0.4522,3
temporal_laplacian,0.2,rmse,0.4914,0.0114,0.4881,0.463,0.5198,3
temporal_laplacian,0.2,snr,3.8286,0.285,3.8284,3.1206,4.5366,3
temporal_laplacian,0.2,dtw,,,,,,0
temporal_laplacian,0.3,mae,0.4544,0.0076,0.4512,0.4354,0.4734,3
temporal_laplacian,0.3,rmse,0.5309,0.0101,0.5253,0.5059,0.556,3
temporal_laplacian,0.3,snr,3.2256,0.1103,3.2825,2.9515,3.4997,3
temporal_laplacian,0.3,dtw,,,,,,0
temporal_laplacian,0.4,mae,0.4755,0.0188,0.4769,0.4286,0.5223,3
temporal_laplacian,0.4,rmse,0.5657,0.0163,0.5603,0.5252,0.6061,3
temporal_laplacian,0.4,snr,2.9507,0.3942,2.8079,1.9715,3.9299,3
temporal_laplacian,0.4,dtw,,,,,,0
tikhonov,0.1,mae,0.1533,0.0095,0.1584,0.1297,0.1769,3
tikhonov,0.1,rmse,0.2846,0.025,0.2975,0.2225,0.3466,3
tikhonov,0.1,snr,15.0241,0.2835,14.8672,14.3198,15.7285,3
tikhonov,0.1,dtw,,,,,,0
tikhonov,0.2,mae,0.209,0.0144,0.2089,0.1732,0.2448,3
tikhonov,0.2,rmse,0.3785,0.0204,0.3782,0.3277,0.4293,3
tikhonov,0.2,snr,13.5166,0.4586,13.733,12.3774,14.6557,3
tikhonov,0.2,dtw,,,,,,0
tikhonov,0.3,mae,0.2791,0.017,0.2714,0.2369,0.3214,3
tikhonov,0.3,rmse,0.4722,0.0282,0.4651,0.4021,0.5423,3
tikhonov,0.3,snr,11.712,0.4171,11.772,10.6759,12.7481,3
tikhonov,0.3,dtw,,,,,,0
tikhonov,0.4,mae,0.3288,0.0207,0.3384,0.2774,0.3801,3
tikhonov,0.4,rmse,0.5288,0.0185,0.5374,0.4829,0.5747,3
tikhonov,0.4,snr,10.3281,0.3509,10.2529,9.4565,11.1997,3
tikhonov,0.4,dtw,,,,,,0
trss,0.1,mae,0.0769,0.0095,0.0814,0.0532,0.1006,3
trss,0.1,rmse,0.2681,0.0266,0.278,0.2021,0.3341,3
trss,0.1,snr,-0.9508,0.7872,-0.7343,-2.9063,1.0046,3
trss,0.1,dtw,,,,,,0
trss,0.2,mae,0.141,0.0135,0.1455,0.1074,0.1746,3
trss,0.2,rmse,0.3662,0.0209,0.3674,0.3144,0.418,3
trss,0.2,snr,-1.0372,0.2338,-0.9463,-1.618,-0.4564,3
trss,0.2,dtw,,,,,,0
trss,0.3,mae,0.2212,0.0114,0.2149,0.1928,0.2495,3
trss,0.3,rmse,0.4583,0.0198,0.4516,0.4091,0.5075,3
trss,0.3,snr,-1.1572,0.3995,-1.1539,-2.1495,-0.1648,3
trss,0.3,dtw,,,,,,0
trss,0.4,mae,0.281,0.024,0.2911,0.2213,0.3407,3
trss,0.4,rmse,0.5157,0.0207,0.521,0.4643,0.5671,3
trss,0.4,snr,-1.0934,0.0906,-1.1074,-1.3184,-0.8684,3
trss,0.4,dtw,,,,,,0
tv,0.1,mae,0.0717,0.01,0.0663,0.0468,0.0966,3
tv,0.1,rmse,0.2444,0.0216,0.2327,0.1907,0.298,3
tv,0.1,snr,-0.147,0.2751,-0.0926,-0.8305,0.5364,3
tv,0.1,dtw,,,,,,0
tv,0.2,mae,0.13,0.0068,0.1295,0.113,0.147,3
tv,0.2,rmse,0.3282,0.0064,0.3264,0.3122,0.3442,3
tv,0.2,snr,-0.1602,0.3327,-0.1867,-0.9867,0.6664,3
tv,0.2,dtw,,,,,,0
tv,0.3,mae,0.2086,0.0071,0.2053,0.1909,0.2263,3
tv,0.3,rmse,0.4251,0.0167,0.4196,0.3835,0.4667,3
tv,0.3,snr,-0.4925,0.2726,-0.5071,-1.1697,0.1847,3
tv,0.3,dtw,,,,,,0
tv,0.4,mae,0.2618,0.0245,0.2607,0.2009,0.3228,3
tv,0.4,rmse,0.4718,0.0287,0.4596,0.4005,0.5432,3
tv,0.4,snr,-0.3011,0.4324,-0.3404,-1.3752,0.7731,3
tv,0.4,dtw,,,,,,0
wavelet_temporal,0.1,mae,0.0951,0.0133,0.0947,0.062,0.1283,3
wavelet_temporal,0.1,rmse,0.254,0.0178,0.25,0.2098,0.2982,3
wavelet_temporal,0.1,snr,17.0962,3.1448,15.3868,9.284,24.9084,3
