method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
temporal_laplacian,0.2,rmse,0.4933,0.0743,0.4954,0.4154,0.5713,6
temporal_laplacian,0.2,snr,4.2829,2.1897,4.2773,1.985,6.5809,6
temporal_laplacian,0.2,dtw,,,,,,0
temporal_laplacian,0.3,mae,0.4466,0.0751,0.4438,0.3678,0.5254,6
temporal_laplacian,0.3,rmse,0.5378,0.0516,0.5406,0.4837,0.5919,6
temporal_laplacian,0.3,snr,3.6959,1.9139,3.6878,1.6873,5.7044,6
temporal_laplacian,0.3,dtw,,,,,,0
temporal_laplacian,0.4,mae,0.4722,0.0664,0.4711,0.4025,0.5419,6
temporal_laplacian,0.4,rmse,0.5736,0.0387,0.5766,0.5329,0.6142,6
temporal_laplacian,0.4,snr,3.2657,1.728,3.2957,1.4522,5.0791,6
temporal_laplacian,0.4,dtw,,,,,,0
tikhonov,0.1,mae,0.1536,0.0675,0.1549,0.0827,0.2244,6
tikhonov,0.1,rmse,0.2855,0.0216,0.2865,0.2629,0.3081,6
tikhonov,0.1,snr,19.5286,9.9795,19.381,9.0558,30.0015,6
tikhonov,0.1,dtw,,,,,,0
tikhonov,0.2,mae,0.202,0.0621,0.2073,0.1368,0.2671,6
tikhonov,0.2,rmse,0.3582,0.0241,0.3576,0.3329,0.3835,6
tikhonov,0.2,snr,17.5865,9.0057,17.4816,8.1356,27.0374,6
tikhonov,0.2,dtw,,,,,,0
tikhonov,0.3,mae,0.2691,0.0528,0.2723,0.2138,0.3245,6
tikhonov,0.3,rmse,0.4471,0.0232,0.4454,0.4228,0.4714,6
tikhonov,0.3,snr,15.1693,7.7848,15.1048,6.9996,23.3389,6
tikhonov,0.3,dtw,,,,,,0
tikhonov,0.4,mae,0.3199,0.0453,0.3216,0.2723,0.3675,6
tikhonov,0.4,rmse,0.5034,0.031,0.5024,0.4708,0.536,6
tikhonov,0.4,snr,13.1876,6.8216,13.1853,6.0288,20.3464,6
tikhonov,0.4,dtw,,,,,,0
trss,0.1,mae,0.0731,0.0091,0.0729,0.0635,0.0827,6
trss,0.1,rmse,0.2487,0.0247,0.2429,0.2228,0.2746,6
trss,0.1,snr,-0.2981,0.691,-0.0563,-1.0233,0.427,6
trss,0.1,dtw,,,,,,0
trss,0.2,mae,0.1273,0.0079,0.1252,0.119,0.1355,6
trss,0.2,rmse,0.3236,0.0112,0.3217,0.3119,0.3353,6
trss,0.2,snr,0.1755,0.7594,-0.0671,-0.6214,0.9724,6
trss,0.2,dtw,,,,,,0
trss,0.3,mae,0.2032,0.0092,0.2038,0.1936,0.2129,6
trss,0.3,rmse,0.4122,0.0178,0.4112,0.3934,0.4309,6
trss,0.3,snr,-0.1542,0.5326,-0.2462,-0.7131,0.4048,6
trss,0.3,dtw,,,,,,0
trss,0.4,mae,0.2601,0.0195,0.2649,0.2396,0.2805,6
trss,0.4,rmse,0.4667,0.0218,0.4719,0.4438,0.4896,6
trss,0.4,snr,-0.1539,0.2998,-0.1761,-0.4686,0.1607,6
trss,0.4,dtw,,,,,,0
tv,0.1,mae,0.072,0.0107,0.0699,0.0608,0.0832,6
tv,0.1,rmse,0.246,0.0272,0.245,0.2175,0.2745,6
tv,0.1,snr,-0.1971,0.6488,-0.3063,-0.878,0.4838,6
tv,0.1,dtw,,,,,,0
tv,0.2,mae,0.1271,0.0095,0.1255,0.1171,0.1371,6
tv,0.2,rmse,0.3256,0.0198,0.3276,0.3048,0.3463,6
tv,0.2,snr,0.1771,1.0833,-0.2605,-0.9598,1.3139,6
tv,0.2,dtw,,,,,,0
tv,0.3,mae,0.2071,0.0093,0.2056,0.1974,0.2168,6
tv,0.3,rmse,0.4247,0.0199,0.4218,0.4038,0.4456,6
tv,0.3,snr,-0.4117,0.4501,-0.4785,-0.884,0.0607,6
tv,0.3,dtw,,,,,,0
tv,0.4,mae,0.2622,0.0193,0.2679,0.2419,0.2825,6
tv,0.4,rmse,0.4759,0.0208,0.4755,0.4541,0.4977,6
tv,0.4,snr,-0.3362,0.2422,-0.3531,-0.5903,-0.082,6
tv,0.4,dtw,,,,,,0
wavelet_temporal,0.1,mae,0.0898,0.0171,0.0868,0.0718,0.1078,6
wavelet_temporal,0.1,rmse,0.2516,0.0205,0.2477,0.23,0.2731,6
wavelet_temporal,0.1,snr,22.3846,8.3421,22.8396,13.6301,31.1391,6
wavelet_temporal,0.1,dtw,,,,,,0
wavelet_temporal,0.2,mae,0.1463,0.0136,0.1458,0.1321,0.1606,6
wavelet_temporal,0.2,rmse,0.3306,0.0117,0.3329,0.3183,0.3429,6
wavelet_temporal,0.2,snr,20.0586,7.3846,20.5873,12.3089,27.8083,6
wavelet_temporal,0.2,dtw,,,,,,0
wavelet_temporal,0.3,mae,0.2127,0.0119,0.2094,0.2002,0.2252,6
wavelet_temporal,0.3,rmse,0.4027,0.0081,0.3996,0.3942,0.4112,6
wavelet_temporal,0.3,snr,17.61,6.6433,18.2973,10.6383,24.5817,6
wavelet_temporal,0.3,dtw,,,,,,0
wavelet_temporal,0.4,mae,0.2712,0.0184,0.2734,0.2519,0.2904,6
wavelet_temporal,0.4,rmse,0.4578,0.0144,0.4609,0.4427,0.473,6
wavelet_temporal,0.4,snr,14.9541,5.6715,15.3391,9.0022,20.906,6
wavelet_temporal,0.4,dtw,,,,,,0
